Cavity #134      
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	1.7102e9 	47432.99999999999 	2037.5	1   	0.                
   lr(2) =       	1.743e9  	50225.            	1556.4	1   	0.                
   lr(3) =       	3.1009e9 	3899.0000000000005	34764.	1   	0.                
   lr(4) =       	1.8749e9 	30715.            	2042.7	1   	0.                
   lr(5) =       	1.8747e9 	30508.            	1727.7	1   	0.                
   lr(6) =       	1.8758e9 	28340.            	1589.5	1   	0.                
   lr(7) =       	1.8588e9 	18114.            	1239.2	1   	0.                
   lr(8) =       	2.5272e9 	24169.999999999996	1097. 	1   	0.                
   lr(9) =       	2.5277e9 	24713.            	900.11	1   	0.                
   lr(10) =      	1.8388e9 	10147.            	1355.9	1   	0.                
/                
