Cavity #197      
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0555e9 	783.34           	2.7698e6	1   	0.                
   lr(2) =       	3.0529e9 	1072.6           	482010. 	1   	0.                
   lr(3) =       	1.7378e9 	52452.           	2402.3  	1   	0.                
   lr(4) =       	2.5456e9 	5671.000000000001	18482.  	1   	0.                
   lr(5) =       	2.5224e9 	19602.           	3719.7  	1   	0.                
   lr(6) =       	1.8706e9 	39665.           	1209.9  	1   	0.                
   lr(7) =       	1.8692e9 	38099.           	1123.   	1   	0.                
   lr(8) =       	1.7035e9 	33008.           	854.24  	1   	0.                
   lr(9) =       	1.8835e9 	12668.           	2078.4  	1   	0.                
   lr(10) =      	1.8566e9 	17866.           	793.5   	1   	0.                
/                
