Cavity #3        
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.066e9  	1241.1    	3.9112e7	1   	0.                
   lr(2) =       	3.0679e9 	1797.9    	1.3937e7	1   	0.                
   lr(3) =       	5.5657e9 	2794.3    	649280. 	1   	0.                
   lr(4) =       	5.5657e9 	2885.2    	597950. 	1   	0.                
   lr(5) =       	2.5476e9 	65237.    	2665.8  	1   	0.                
   lr(6) =       	2.5455e9 	48431.    	2885.   	1   	0.                
   lr(7) =       	1.7379e9 	42630.    	2125.8  	1   	0.                
   lr(8) =       	1.8714e9 	33126.    	2143.1  	1   	0.                
   lr(9) =       	1.8707e9 	31141.    	1892.4  	1   	0.                
   lr(10) =      	1.6865e9 	26580.    	918.08  	1   	0.                
/                
