Cavity #33       
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5519e9 	45836.           	24642.	1   	0.                
   lr(2) =       	2.552e9  	48497.           	11908.	1   	0.                
   lr(3) =       	1.706e9  	51635.           	2145.5	1   	0.                
   lr(4) =       	1.7436e9 	48673.           	1684.6	1   	0.                
   lr(5) =       	1.877e9  	29310.           	1955. 	1   	0.                
   lr(6) =       	1.8769e9 	29009.           	1937.4	1   	0.                
   lr(7) =       	1.8586e9 	36991.           	717.52	1   	0.                
   lr(8) =       	1.8556e9 	35059.           	750.46	1   	0.                
   lr(9) =       	1.681e9  	7947.999999999999	1595.2	1   	0.                
   lr(10) =      	1.7907e9 	13856.           	659.59	1   	0.                
/                
