Cavity #34       
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0656e9 	330.55    	1.9552e7	1   	0.                
   lr(2) =       	2.5649e9 	59105.    	6978.9  	1   	0.                
   lr(3) =       	1.7019e9 	53563.    	2283.4  	1   	0.                
   lr(4) =       	1.7369e9 	46785.    	1731.   	1   	0.                
   lr(5) =       	1.8713e9 	36033.    	1505.9  	1   	0.                
   lr(6) =       	1.8701e9 	38678.    	1164.4  	1   	0.                
   lr(7) =       	1.8696e9 	33448.    	910.89  	1   	0.                
   lr(8) =       	1.8561e9 	22171.    	925.02  	1   	0.                
   lr(9) =       	2.5469e9 	9500.1    	2424.3  	1   	0.                
   lr(10) =      	1.8785e9 	8976.     	1604.1  	1   	0.                
/                
