Cavity #41       
                 	Frequency	R/Q               	Q        	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	         	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0698e9 	311.19            	4.9403e10	1   	0.                
   lr(2) =       	3.3564e9 	390.58000000000004	9.7367e6 	1   	0.                
   lr(3) =       	1.5998e9 	1339.2            	156510.  	1   	0.                
   lr(4) =       	2.5751e9 	52605.00000000001 	5078.2   	1   	0.                
   lr(5) =       	1.7128e9 	52463.            	2028.2   	1   	0.                
   lr(6) =       	1.8708e9 	30835.            	2918.3   	1   	0.                
   lr(7) =       	1.7396e9 	48141.            	1709.1   	1   	0.                
   lr(8) =       	1.8703e9 	31233.            	2779.6   	1   	0.                
   lr(9) =       	1.871e9  	29083.            	1905.7   	1   	0.                
   lr(10) =      	1.8568e9 	25341.999999999996	1838.1   	1   	0.                
/                
