Cavity #5        
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0833e9 	2886.2           	385580.	1   	0.                
   lr(2) =       	1.8678e9 	24610.           	8940.9 	1   	0.                
   lr(3) =       	1.8851e9 	8907.199999999999	22331. 	1   	0.                
   lr(4) =       	2.5547e9 	39406.           	4320.4 	1   	0.                
   lr(5) =       	2.5548e9 	41976.00000000001	3871.8 	1   	0.                
   lr(6) =       	1.7405e9 	49795.99999999999	2110.7 	1   	0.                
   lr(7) =       	1.8852e9 	8644.4           	12838. 	1   	0.                
   lr(8) =       	1.7407e9 	47279.           	1129.  	1   	0.                
   lr(9) =       	1.8616e9 	23376.           	2282.9 	1   	0.                
   lr(10) =      	1.7032e9 	33997.           	712.98 	1   	0.                
/                
