Cavity #70       
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0675e9 	485.25            	7.0054e6	1   	0.                
   lr(2) =       	3.0675e9 	484.87            	7.002e6 	1   	0.                
   lr(3) =       	1.8753e9 	30868.000000000004	4238.8  	1   	0.                
   lr(4) =       	1.7409e9 	55774.            	1909.1  	1   	0.                
   lr(5) =       	1.7078e9 	42946.            	1712.7  	1   	0.                
   lr(6) =       	1.8756e9 	32831.            	1400.1  	1   	0.                
   lr(7) =       	1.875e9  	24995.            	1751.   	1   	0.                
   lr(8) =       	2.553e9  	14841.            	2211.4  	1   	0.                
   lr(9) =       	2.5533e9 	14247.            	1993.8  	1   	0.                
   lr(10) =      	1.8562e9 	22734.            	601.96  	1   	0.                
/                
