Cavity #142      
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0764e9 	4110.3           	326480.	1   	0.                
   lr(2) =       	2.5526e9 	79701.           	7128.9 	1   	0.                
   lr(3) =       	8.8459e9 	8038.2           	231770.	1   	0.                
   lr(4) =       	8.8347e9 	5656.099999999999	248320.	1   	0.                
   lr(5) =       	1.7031e9 	51096.           	1630.9 	1   	0.                
   lr(6) =       	1.7388e9 	46598.           	1816.9 	1   	0.                
   lr(7) =       	1.8701e9 	38631.           	1522.5 	1   	0.                
   lr(8) =       	1.8566e9 	25124.           	1499.1 	1   	0.                
   lr(9) =       	1.871e9  	41666.           	895.03 	1   	0.                
   lr(10) =      	1.872e9  	38276.           	681.79 	1   	0.                
/                
