Cavity #228      
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5506e9 	79536.           	7288.4	1   	0.                
   lr(2) =       	3.076e9  	3871.8           	76380.	1   	0.                
   lr(3) =       	1.7052e9 	52377.           	1703.5	1   	0.                
   lr(4) =       	1.7386e9 	42925.00000000001	1703.8	1   	0.                
   lr(5) =       	1.8701e9 	39833.           	1698.3	1   	0.                
   lr(6) =       	1.8554e9 	26372.           	1606.7	1   	0.                
   lr(7) =       	1.8711e9 	42730.           	953.86	1   	0.                
   lr(8) =       	1.8718e9 	40138.           	737.54	1   	0.                
   lr(9) =       	1.8809e9 	8335.3           	1784.9	1   	0.                
   lr(10) =      	1.6764e9 	12101.           	775.  	1   	0.                
/                
