Cavity #262      
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5529e9 	79691.    	7279.3 	1   	0.                
   lr(2) =       	8.8429e9 	4785.3    	416190.	1   	0.                
   lr(3) =       	3.0716e9 	1213.1    	565040.	1   	0.                
   lr(4) =       	3.076e9  	3683.5    	68342. 	1   	0.                
   lr(5) =       	1.7037e9 	51630.    	1775.3 	1   	0.                
   lr(6) =       	1.7382e9 	45343.    	1872.7 	1   	0.                
   lr(7) =       	1.871e9  	37439.    	1471.3 	1   	0.                
   lr(8) =       	1.856e9  	26839.    	1575.3 	1   	0.                
   lr(9) =       	1.8719e9 	39781.    	942.08 	1   	0.                
   lr(10) =      	1.8728e9 	37960.    	767.41 	1   	0.                
/                
