Cavity #3        
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.07e9   	1445.1    	372920.	1   	0.                
   lr(2) =       	2.5523e9 	72313.    	5100.4 	1   	0.                
   lr(3) =       	3.0755e9 	3691.3    	72403. 	1   	0.                
   lr(4) =       	1.7033e9 	50936.    	1603.2 	1   	0.                
   lr(5) =       	1.7375e9 	43589.    	1839.5 	1   	0.                
   lr(6) =       	1.8699e9 	38064.    	1635.1 	1   	0.                
   lr(7) =       	1.8561e9 	25933.    	1597.3 	1   	0.                
   lr(8) =       	1.8707e9 	41803.    	815.99 	1   	0.                
   lr(9) =       	1.8716e9 	38990.    	654.06 	1   	0.                
   lr(10) =      	2.5438e9 	11476.    	2979.2 	1   	0.                
/                
