Cavity #302      
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5533e9 	79116.    	7502.9	1   	0.                
   lr(2) =       	8.8379e9 	6465.2    	99704.	1   	0.                
   lr(3) =       	8.8452e9 	6314.7    	93111.	1   	0.                
   lr(4) =       	1.7048e9 	51973.    	1782.1	1   	0.                
   lr(5) =       	1.7393e9 	45937.    	1799.2	1   	0.                
   lr(6) =       	3.0761e9 	3874.5    	37664.	1   	0.                
   lr(7) =       	1.8711e9 	39126.    	1412.4	1   	0.                
   lr(8) =       	1.8565e9 	26332.    	1519.5	1   	0.                
   lr(9) =       	1.8721e9 	41220.    	945.53	1   	0.                
   lr(10) =      	1.873e9  	39255.    	755.81	1   	0.                
/                
