Cavity #4        
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5505e9 	79592.            	8103. 	1   	0.                
   lr(2) =       	8.8359e9 	6644.900000000001 	96265.	1   	0.                
   lr(3) =       	1.7032e9 	51285.            	1661.8	1   	0.                
   lr(4) =       	3.0743e9 	3880.7000000000003	39099.	1   	0.                
   lr(5) =       	1.7368e9 	43661.            	1803.3	1   	0.                
   lr(6) =       	1.8697e9 	39726.            	1485.5	1   	0.                
   lr(7) =       	1.8552e9 	26098.            	1484.2	1   	0.                
   lr(8) =       	1.8709e9 	42178.00000000001 	858.83	1   	0.                
   lr(9) =       	1.8717e9 	39401.            	675.44	1   	0.                
   lr(10) =      	1.6752e9 	11169.            	725.11	1   	0.                
/                
