Cavity #88       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.077e9  	3733.9           	198980.	1   	0.                
   lr(2) =       	2.5531e9 	77956.           	5841.4 	1   	0.                
   lr(3) =       	8.8419e9 	5825.5           	225050.	1   	0.                
   lr(4) =       	8.837e9  	6205.000000000001	127080.	1   	0.                
   lr(5) =       	1.7045e9 	51891.99999999999	1702.2 	1   	0.                
   lr(6) =       	1.7382e9 	45049.           	1750.2 	1   	0.                
   lr(7) =       	1.8709e9 	38208.           	1585.9 	1   	0.                
   lr(8) =       	1.8558e9 	27121.           	1690.5 	1   	0.                
   lr(9) =       	1.8718e9 	40488.           	1048.  	1   	0.                
   lr(10) =      	1.8726e9 	38391.           	805.35 	1   	0.                
/                
