Cavity #99       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0754e9 	3922.     	987700.	1   	0.                
   lr(2) =       	2.5523e9 	73727.    	8516.8 	1   	0.                
   lr(3) =       	1.703e9  	51697.    	1679.6 	1   	0.                
   lr(4) =       	1.7376e9 	43944.    	1892.3 	1   	0.                
   lr(5) =       	1.8697e9 	38120.    	1581.7 	1   	0.                
   lr(6) =       	1.8555e9 	25713.    	1485.5 	1   	0.                
   lr(7) =       	1.8705e9 	41699.    	819.67 	1   	0.                
   lr(8) =       	1.8715e9 	38881.    	666.25 	1   	0.                
   lr(9) =       	1.7901e9 	10356.    	897.8  	1   	0.                
   lr(10) =      	1.6761e9 	10862.    	728.67 	1   	0.                
/                
