Cavity #10       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0664e9 	137.63           	5.1349e7	1   	0.                
   lr(2) =       	2.5547e9 	75943.           	16350.  	1   	0.                
   lr(3) =       	8.8367e9 	5666.299999999999	113380. 	1   	0.                
   lr(4) =       	1.7067e9 	49835.           	1618.8  	1   	0.                
   lr(5) =       	1.7383e9 	46226.           	1743.8  	1   	0.                
   lr(6) =       	1.8714e9 	40787.00000000001	1536.   	1   	0.                
   lr(7) =       	1.8555e9 	26766.           	1581.6  	1   	0.                
   lr(8) =       	1.8727e9 	44079.           	833.02  	1   	0.                
   lr(9) =       	4.6759e9 	10630.           	7024.4  	1   	0.                
   lr(10) =      	1.8733e9 	40666.           	624.4   	1   	0.                
/                
