Cavity #172      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0613e9 	258.28000000000003	3.6307e7	1   	0.                
   lr(2) =       	2.5487e9 	79683.            	5221.6  	1   	0.                
   lr(3) =       	3.0757e9 	3946.5            	127100. 	1   	0.                
   lr(4) =       	1.7047e9 	51935.            	1645.7  	1   	0.                
   lr(5) =       	1.8697e9 	39692.            	1978.8  	1   	0.                
   lr(6) =       	1.7379e9 	41093.            	1686.6  	1   	0.                
   lr(7) =       	1.8546e9 	26173.            	1663.7  	1   	0.                
   lr(8) =       	1.8705e9 	43538.            	989.2   	1   	0.                
   lr(9) =       	1.8712e9 	40268.            	710.82  	1   	0.                
   lr(10) =      	2.5469e9 	23874.            	816.16  	1   	0.                
/                
