Cavity #2        
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5522e9 	74697.            	6080.7 	1   	0.                
   lr(2) =       	3.0772e9 	3785.2000000000003	138450.	1   	0.                
   lr(3) =       	1.7061e9 	51849.            	1741.3 	1   	0.                
   lr(4) =       	1.7386e9 	43211.00000000001 	1684.  	1   	0.                
   lr(5) =       	1.8706e9 	37754.            	1637.  	1   	0.                
   lr(6) =       	1.8714e9 	37508.            	1287.2 	1   	0.                
   lr(7) =       	1.8559e9 	26840.            	1531.8 	1   	0.                
   lr(8) =       	1.8722e9 	40378.            	864.44 	1   	0.                
   lr(9) =       	2.5428e9 	10226.            	2682.4 	1   	0.                
   lr(10) =      	1.677e9  	11686.            	849.57 	1   	0.                
/                
