Cavity #205      
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.556e9  	78144.            	6759.9 	1   	0.                
   lr(2) =       	3.0786e9 	3669.2999999999997	148980.	1   	0.                
   lr(3) =       	8.8493e9 	5871.7            	149980.	1   	0.                
   lr(4) =       	1.704e9  	53086.            	1885.4 	1   	0.                
   lr(5) =       	8.8447e9 	6491.200000000001 	75357. 	1   	0.                
   lr(6) =       	1.7411e9 	48057.            	1791.  	1   	0.                
   lr(7) =       	1.8708e9 	35819.            	1362.4 	1   	0.                
   lr(8) =       	1.8718e9 	36782.            	1241.7 	1   	0.                
   lr(9) =       	1.8573e9 	25729.000000000004	1489.4 	1   	0.                
   lr(10) =      	1.8726e9 	39040.            	962.16 	1   	0.                
/                
