Cavity #262      
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0578e9 	287.31    	2.0375e8	1   	0.                
   lr(2) =       	3.0578e9 	287.26    	2.0308e8	1   	0.                
   lr(3) =       	3.0714e9 	3841.5    	198910. 	1   	0.                
   lr(4) =       	2.5447e9 	81914.    	5777.5  	1   	0.                
   lr(5) =       	1.7014e9 	50874.    	1554.4  	1   	0.                
   lr(6) =       	1.7365e9 	39739.    	1772.2  	1   	0.                
   lr(7) =       	1.8694e9 	39624.    	1560.4  	1   	0.                
   lr(8) =       	1.8545e9 	26546.    	1550.3  	1   	0.                
   lr(9) =       	1.8702e9 	44082.    	717.89  	1   	0.                
   lr(10) =      	1.8713e9 	41345.    	585.71  	1   	0.                
/                
