Cavity #3        
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0635e9 	315.97           	2.5902e7	1   	0.                
   lr(2) =       	3.0635e9 	314.08           	8.8021e6	1   	0.                
   lr(3) =       	2.5485e9 	75167.           	16219.  	1   	0.                
   lr(4) =       	3.0705e9 	3819.2           	71246.  	1   	0.                
   lr(5) =       	1.7331e9 	45420.99999999999	1938.1  	1   	0.                
   lr(6) =       	1.6988e9 	48163.           	1374.2  	1   	0.                
   lr(7) =       	1.8686e9 	42164.           	1344.1  	1   	0.                
   lr(8) =       	1.8699e9 	44625.           	851.47  	1   	0.                
   lr(9) =       	1.854e9  	24684.           	1269.   	1   	0.                
   lr(10) =      	1.8706e9 	34350.           	466.15  	1   	0.                
/                
