Cavity #38       
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5498e9 	66541.            	3758.1	1   	0.                
   lr(2) =       	3.0741e9 	3492.2            	80088.	1   	0.                
   lr(3) =       	5.6017e9 	4031.9            	75744.	1   	0.                
   lr(4) =       	1.7013e9 	51028.            	1616.5	1   	0.                
   lr(5) =       	1.736e9  	42304.00000000001 	1834.3	1   	0.                
   lr(6) =       	1.8698e9 	38296.            	1559.9	1   	0.                
   lr(7) =       	2.5406e9 	19413.            	2969.2	1   	0.                
   lr(8) =       	1.855e9  	26735.000000000004	1542.5	1   	0.                
   lr(9) =       	1.8706e9 	36929.            	1096.8	1   	0.                
   lr(10) =      	1.8716e9 	39710.            	728.67	1   	0.                
/                
