Cavity #67       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0635e9 	232.67            	1.56e9 	1   	0.                
   lr(2) =       	3.0757e9 	3968.6            	178410.	1   	0.                
   lr(3) =       	8.8289e9 	6476.8            	273050.	1   	0.                
   lr(4) =       	2.5512e9 	75122.            	4937.9 	1   	0.                
   lr(5) =       	1.7381e9 	42828.            	1855.  	1   	0.                
   lr(6) =       	1.705e9  	50894.00000000001 	1530.4 	1   	0.                
   lr(7) =       	1.8701e9 	39683.            	1751.5 	1   	0.                
   lr(8) =       	1.857e9  	24376.000000000004	1746.  	1   	0.                
   lr(9) =       	1.8708e9 	44654.99999999999 	745.5  	1   	0.                
   lr(10) =      	1.8718e9 	38518.            	497.21 	1   	0.                
/                
