Cavity #7        
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0633e9 	189.95000000000002	8.8582e7	1   	0.                
   lr(2) =       	5.6084e9 	4138.4            	249100. 	1   	0.                
   lr(3) =       	3.0775e9 	3661.4999999999995	126720. 	1   	0.                
   lr(4) =       	2.5536e9 	68854.            	5259.9  	1   	0.                
   lr(5) =       	1.74e9   	45929.            	1815.2  	1   	0.                
   lr(6) =       	1.7034e9 	50759.            	1484.6  	1   	0.                
   lr(7) =       	1.8712e9 	37607.            	1875.5  	1   	0.                
   lr(8) =       	1.857e9  	26542.            	1818.1  	1   	0.                
   lr(9) =       	1.872e9  	40724.            	944.07  	1   	0.                
   lr(10) =      	1.8728e9 	37085.            	703.57  	1   	0.                
/                
