Cavity #9        
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5542e9 	73693.           	13667.	1   	0.                
   lr(2) =       	8.8419e9 	6373.5           	96298.	1   	0.                
   lr(3) =       	3.0761e9 	3620.8           	42291.	1   	0.                
   lr(4) =       	1.7369e9 	46452.           	1801.3	1   	0.                
   lr(5) =       	1.7033e9 	49240.00000000001	1488.2	1   	0.                
   lr(6) =       	5.6209e9 	6201.7           	34346.	1   	0.                
   lr(7) =       	1.8694e9 	38526.           	1767.1	1   	0.                
   lr(8) =       	1.8701e9 	36545.           	1097.9	1   	0.                
   lr(9) =       	1.8547e9 	25411.           	1429.4	1   	0.                
   lr(10) =      	1.871e9  	41378.00000000001	596.36	1   	0.                
/                
