Cavity #8        
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.558e9  	69070.    	15243.	1   	0.                
   lr(2) =       	1.7322e9 	49170.    	1886.6	1   	0.                
   lr(3) =       	3.0755e9 	3517.5    	43035.	1   	0.                
   lr(4) =       	1.7015e9 	40296.    	1123.5	1   	0.                
   lr(5) =       	1.8717e9 	33787.    	1333.5	1   	0.                
   lr(6) =       	1.8704e9 	32882.    	1252.1	1   	0.                
   lr(7) =       	1.8531e9 	28657.    	1396.2	1   	0.                
   lr(8) =       	1.8722e9 	37685.    	856.93	1   	0.                
   lr(9) =       	2.5259e9 	11863.    	1699.2	1   	0.                
   lr(10) =      	1.6755e9 	12566.    	678.79	1   	0.                
/                
