Cavity #86       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5554e9 	67968.    	19798.	1   	0.                
   lr(2) =       	1.7072e9 	51761.    	1918. 	1   	0.                
   lr(3) =       	1.7404e9 	44071.    	1796.1	1   	0.                
   lr(4) =       	1.872e9  	34030.    	1833.9	1   	0.                
   lr(5) =       	1.8724e9 	34713.    	1526.5	1   	0.                
   lr(6) =       	1.8732e9 	33772.    	1451.6	1   	0.                
   lr(7) =       	1.8537e9 	30396.    	1349. 	1   	0.                
   lr(8) =       	2.5445e9 	8904.5    	2465.3	1   	0.                
   lr(9) =       	1.6739e9 	11748.    	873.86	1   	0.                
   lr(10) =      	1.8809e9 	10097.    	1000.9	1   	0.                
/                
