adjust the phase of the first vertical BPM R:VP605 to be the same as  designed value

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .401718)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:VP607   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase (-.23231 )                          
    Average RMS deviation:  .12816 +  .06598                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP223     0.34832  0.21607    0.123    0.300  0.11601                         
R:VP225    -0.39069  0.11257    0.076    0.081  0.37700                         
R:VP227    -0.15503  0.23457    0.125    0.354 -0.38734                         
R:VP229     0.04902  0.17422    0.052    0.195 -0.18329                         
R:VP231     0.33911  0.16646    0.088    0.178  0.10680                         
R:VP301    -0.46063  0.22351    0.060    0.321  0.30706                         
R:VP303    -0.20431  0.23021    0.152    0.341 -0.43662                         
R:VP305     0.01273  0.24981    0.026    0.401 -0.21958                         
R:VP307     0.27895  0.29394    0.237    0.556  0.04664                         
R:VP309    -0.48855  0.19403    0.029    0.242  0.27914                         
R:VP311    -0.20693  0.14201    0.090    0.130 -0.43924                         
R:VP313    -0.00441  0.20247    0.039    0.264 -0.23672                         
R:VP315     0.23890  0.20326    0.118    0.266  0.00659                         
R:VP317     0.46637  0.17046    0.106    0.187  0.23406                         
R:VP319    -0.26424  0.23864    0.126    0.366 -0.49655                         
R:VP321    -0.06382  0.23362    0.042    0.351 -0.29613                         
R:VP323     0.16290  0.16528    0.084    0.176 -0.06941                         
R:VP325     0.46398  0.18580    0.037    0.222  0.23167                         
R:VP327    -0.35176  0.23888    0.129    0.367  0.41593                         
R:VP329    -0.10035  0.20623    0.118    0.274 -0.33266                         
R:VP331     0.10445  0.18508    0.101    0.220 -0.12786                         
R:VP333     0.45938  0.14616    0.273    0.137  0.22707                         
R:VP335    -0.43486  0.21218    0.080    0.290  0.33283                         
R:VP337    -0.09395  0.13785    0.153    0.122 -0.32626                         
R:VP339    -0.02257  0.16889    0.072    0.183 -0.25488                         
