(08.09.2004 18:32:58)  spea2: #1 1st front size (4)
(08.09.2004 18:32:59)  spea2: #2 1st front size (2)
(08.09.2004 18:32:59)  spea2: #3 1st front size (2)
(08.09.2004 18:33:00)  spea2: #4 1st front size (1)
(08.09.2004 18:33:00)  spea2: #5 1st front size (1)
(08.09.2004 18:33:01)  spea2: #6 1st front size (1)
(08.09.2004 18:33:01)  spea2: #7 1st front size (1)
(08.09.2004 18:33:02)  spea2: #8 1st front size (1)
(08.09.2004 18:33:02)  spea2: #9 1st front size (3)
(08.09.2004 18:33:02)  spea2: #10 1st front size (6)
(08.09.2004 18:33:03)  spea2: #11 1st front size (9)
(08.09.2004 18:33:03)  spea2: #12 1st front size (4)
(08.09.2004 18:33:04)  spea2: #13 1st front size (6)
(08.09.2004 18:33:04)  spea2: #14 1st front size (4)
(08.09.2004 18:33:05)  spea2: #15 1st front size (8)
(08.09.2004 18:33:05)  spea2: #16 1st front size (1)
(08.09.2004 18:33:06)  spea2: #17 1st front size (1)
(08.09.2004 18:33:06)  spea2: #18 1st front size (2)
(08.09.2004 18:33:06)  spea2: #19 1st front size (3)
(08.09.2004 18:33:07)  spea2: #20 1st front size (3)
(08.09.2004 18:33:07)  spea2: #21 1st front size (3)
(08.09.2004 18:33:08)  spea2: #22 1st front size (3)
(08.09.2004 18:33:08)  spea2: #23 1st front size (4)
(08.09.2004 18:33:09)  spea2: #24 1st front size (5)
(08.09.2004 18:33:09)  spea2: #25 1st front size (8)
(08.09.2004 18:33:10)  spea2: #26 1st front size (2)
(08.09.2004 18:33:10)  spea2: #27 1st front size (3)
(08.09.2004 18:33:10)  spea2: #28 1st front size (4)
(08.09.2004 18:33:11)  spea2: #29 1st front size (6)
(08.09.2004 18:33:11)  spea2: #30 1st front size (4)
(08.09.2004 18:33:12)  spea2: #31 1st front size (3)
(08.09.2004 18:33:12)  spea2: #32 1st front size (7)
(08.09.2004 18:33:13)  spea2: #33 1st front size (6)
(08.09.2004 18:33:13)  spea2: #34 1st front size (5)
(08.09.2004 18:33:14)  spea2: #35 1st front size (1)
(08.09.2004 18:33:14)  spea2: #36 1st front size (2)
(08.09.2004 18:33:15)  spea2: #37 1st front size (3)
(08.09.2004 18:33:15)  spea2: #38 1st front size (5)
(08.09.2004 18:33:16)  spea2: #39 1st front size (10)
(08.09.2004 18:33:16)  spea2: #40 1st front size (9)
(08.09.2004 18:33:17)  spea2: #41 1st front size (8)
(08.09.2004 18:33:17)  spea2: #42 1st front size (9)
(08.09.2004 18:33:18)  spea2: #43 1st front size (9)
(08.09.2004 18:33:18)  spea2: #44 1st front size (5)
(08.09.2004 18:33:19)  spea2: #45 1st front size (5)
(08.09.2004 18:33:19)  spea2: #46 1st front size (4)
(08.09.2004 18:33:20)  spea2: #47 1st front size (4)
(08.09.2004 18:33:20)  spea2: #48 1st front size (7)
(08.09.2004 18:33:21)  spea2: #49 1st front size (5)
(08.09.2004 18:33:21)  spea2: #50 1st front size (7)
(08.09.2004 18:33:22)  spea2: #51 1st front size (5)
(08.09.2004 18:33:22)  spea2: #52 1st front size (8)
(08.09.2004 18:33:23)  spea2: #53 1st front size (5)
(08.09.2004 18:33:23)  spea2: #54 1st front size (5)
(08.09.2004 18:33:23)  spea2: #55 1st front size (9)
(08.09.2004 18:33:24)  spea2: #56 1st front size (2)
(08.09.2004 18:33:24)  spea2: #57 1st front size (3)
(08.09.2004 18:33:25)  spea2: #58 1st front size (2)
(08.09.2004 18:33:25)  spea2: #59 1st front size (3)
(08.09.2004 18:33:26)  spea2: #60 1st front size (3)
(08.09.2004 18:33:26)  spea2: #61 1st front size (2)
(08.09.2004 18:33:27)  spea2: #62 1st front size (4)
(08.09.2004 18:33:27)  spea2: #63 1st front size (2)
(08.09.2004 18:33:28)  spea2: #64 1st front size (2)
(08.09.2004 18:33:28)  spea2: #65 1st front size (3)
(08.09.2004 18:33:29)  spea2: #66 1st front size (6)
(08.09.2004 18:33:29)  spea2: #67 1st front size (16)
(08.09.2004 18:33:30)  spea2: #68 1st front size (5)
(08.09.2004 18:33:30)  spea2: #69 1st front size (12)
(08.09.2004 18:33:31)  spea2: #70 1st front size (9)
(08.09.2004 18:33:31)  spea2: #71 1st front size (23)
(08.09.2004 18:33:32)  spea2: #72 1st front size (50)
(08.09.2004 18:33:32)  spea2: #73 1st front size (25)
(08.09.2004 18:33:33)  spea2: #74 1st front size (43)
(08.09.2004 18:33:33)  spea2: #75 1st front size (65)
(08.09.2004 18:33:33)  spea2: #76 1st front size (4)
(08.09.2004 18:33:34)  spea2: #77 1st front size (4)
(08.09.2004 18:33:34)  spea2: #78 1st front size (2)
(08.09.2004 18:33:35)  spea2: #79 1st front size (1)
(08.09.2004 18:33:35)  spea2: #80 1st front size (3)
(08.09.2004 18:33:36)  spea2: #81 1st front size (4)
(08.09.2004 18:33:36)  spea2: #82 1st front size (14)
(08.09.2004 18:33:37)  spea2: #83 1st front size (33)
(08.09.2004 18:33:37)  spea2: #84 1st front size (68)
(08.09.2004 18:33:38)  spea2: #85 1st front size (143*)
(08.09.2004 18:33:38)  spea2: #86 1st front size (180*)
(08.09.2004 18:33:39)  spea2: #87 1st front size (185*)
(08.09.2004 18:33:39)  spea2: #88 1st front size (178*)
(08.09.2004 18:33:40)  spea2: #89 1st front size (185*)
(08.09.2004 18:33:40)  spea2: #90 1st front size (184*)
(08.09.2004 18:33:41)  spea2: #91 1st front size (177*)
(08.09.2004 18:33:41)  spea2: #92 1st front size (178*)
(08.09.2004 18:33:42)  spea2: #93 1st front size (181*)
(08.09.2004 18:33:42)  spea2: #94 1st front size (179*)
(08.09.2004 18:33:43)  spea2: #95 1st front size (1)
(08.09.2004 18:33:43)  spea2: #96 1st front size (1)
(08.09.2004 18:33:44)  spea2: #97 1st front size (1)
(08.09.2004 18:33:44)  spea2: #98 1st front size (1)
(08.09.2004 18:33:45)  spea2: #99 1st front size (2)
(08.09.2004 18:33:45)  spea2: #100 1st front size (2)
