adjust the phase of the first BPM R:HP606 to the same as the value    from MAD output

                 Horz         Vert         Sync.                           
 Tune           ( .452444)   ( .404434)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Horizontal]                                                       
 Turns from -< 1500>+ for (   39) turns                                    
 From -<R:HP606   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -< 1500>+ for (   30) turns                           
 Reference at turn# ( 1500) with phase (-.37503 )                          
    Average RMS deviation:  .14409 +  .05296                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:HP222    -0.27314  0.46085    0.078    1.863  0.35183                         
R:HP224    -0.05939  0.28277    0.143    0.701 -0.43442                         
R:HP226     0.23140  0.31712    0.075    0.882 -0.14363                         
R:HP228     0.45521  0.31965    0.155    0.896  0.08018                         
R:HP230    -0.32767  0.36294    0.081    1.155  0.29730                         
R:HP232    -0.00645  0.32928    0.180    0.951 -0.38148                         
R:HP302     0.20167  0.42210    0.074    1.563 -0.17336                         
R:HP304    -0.49526  0.37469    0.166    1.232  0.12971                         
R:HP306    -0.26772  0.43417    0.075    1.654  0.35725                         
R:HP308     0.01316  0.36895    0.148    1.194 -0.36187                         
R:HP310     0.20125  0.33478    0.061    0.983 -0.17378                         
R:HP312    -0.48369  0.27910    0.111    0.683  0.14128                         
R:HP314    -0.27402  0.38556    0.082    1.304  0.35095                         
R:HP316    -0.05659  0.31741    0.151    0.884 -0.43162                         
R:HP318     0.24275  0.31873    0.063    0.891 -0.13228                         
R:HP320     0.47517  0.40334    0.142    1.427  0.10014                         
R:HP322    -0.29943  0.41886    0.056    1.539  0.32554                         
R:HP324    -0.07429  0.25269    0.100    0.560 -0.44932                         
R:HP326     0.18623  0.34674    0.075    1.055 -0.18880                         
R:HP328     0.46508  0.45997    0.189    1.856  0.09005                         
R:HP330    -0.34129  0.38993    0.061    1.334  0.28368                         
R:HP332    -0.18756  0.17647    0.276    0.273  0.43741                         
R:HP334     0.17103  0.36267    0.089    1.154 -0.20400                         
R:HP336     0.41391  0.33759    0.156    1.000  0.03888                         
R:HP338    -0.35140  0.37115    0.098    1.208  0.27357                         
