adjust the phase of the first BPM R:VP605 to the phase from MAD output

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .404434)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -< 1500>+ for (   39) turns                                    
 From -<R:VP607   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -< 1500>+ for (   30) turns                           
 Reference at turn# ( 1500) with phase (-.01401 )                          
    Average RMS deviation:  .05363 +  .04299                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP223     0.12458  2.10509    0.057   28.498  0.11057                         
R:VP225     0.40418  1.36944    0.034   12.060  0.39017                         
R:VP227    -0.37179  2.25118    0.059   32.590 -0.38580                         
R:VP229    -0.14787  1.88304    0.026   22.803 -0.16188                         
R:VP231     0.11680  1.63411    0.044   17.172  0.10279                         
R:VP301     0.34743  2.17536    0.040   30.432  0.33342                         
R:VP303    -0.43278  2.47587    0.057   39.421 -0.44679                         
R:VP305    -0.18268  2.36311    0.041   35.912 -0.19669                         
R:VP307     0.06747  2.78330    0.185   49.818  0.05346                         
R:VP309     0.31194  1.92806    0.035   23.906  0.29793                         
R:VP311    -0.43425  1.55065    0.040   15.463 -0.44826                         
R:VP313    -0.18957  1.95856    0.033   24.669 -0.20358                         
R:VP315     0.02374  2.15090    0.054   29.752  0.00973                         
R:VP317     0.30031  1.24615    0.030    9.987  0.28630                         
R:VP319    -0.47646  2.58102    0.043   42.840 -0.49047                         
R:VP321    -0.26100  2.10754    0.038   28.564 -0.27501                         
R:VP323    -0.04197  1.88308    0.043   22.804 -0.05598                         
R:VP325     0.26002  1.82111    0.042   21.328  0.24601                         
R:VP327     0.44967  2.68767    0.057   46.454  0.43566                         
R:VP329    -0.32499  1.91532    0.044   23.591 -0.33900                         
R:VP331    -0.08183  2.08742    0.050   28.021 -0.09584                         
R:VP333     0.08841  1.13011    0.426    8.213  0.07440                         
R:VP335     0.37274  1.92955    0.043   23.943  0.35873                         
R:VP337    -0.44673  1.41035    0.190   12.792 -0.46074                         
R:VP339    -0.21842  1.52570    0.043   14.969 -0.23243                         
