adjust phase of the first BPM R:HP606 the same as the design value    (MAD output)

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .401718)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Horizontal]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:HP606   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase ( .0325  )                          
    Average RMS deviation:  .06962 +  .02897                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:HP222     0.34720  2.45826    0.055   53.009  0.37970                         
R:HP224    -0.43861  1.78018    0.059   27.799 -0.40611                         
R:HP226    -0.14797  1.81793    0.048   28.990 -0.11547                         
R:HP228     0.07757  1.87574    0.062   30.863  0.11007                         
R:HP230     0.29605  2.01360    0.041   35.567  0.32855                         
R:HP232    -0.40129  1.91544    0.081   32.183 -0.36879                         
R:HP302    -0.17972  2.37422    0.048   49.447 -0.14722                         
R:HP304     0.11112  2.23866    0.072   43.961  0.14362                         
R:HP306     0.34563  2.56700    0.049   57.803  0.37813                         
R:HP308    -0.36804  2.20315    0.057   42.578 -0.33554                         
R:HP310    -0.16762  1.95361    0.093   33.479 -0.13512                         
R:HP312     0.13740  1.74117    0.051   26.594  0.16990                         
R:HP314     0.34151  2.07346    0.060   37.713  0.37401                         
R:HP316    -0.42477  1.84117    0.069   29.736 -0.39227                         
R:HP318    -0.14029  1.71544    0.069   25.813 -0.10779                         
R:HP320     0.09898  2.23617    0.056   43.864  0.13148                         
R:HP322     0.31886  2.37240    0.047   49.371  0.35136                         
R:HP324    -0.43644  1.55028    0.064   21.082 -0.40394                         
R:HP326    -0.19378  2.07813    0.085   37.883 -0.16128                         
R:HP328     0.08283  2.36666    0.053   49.132  0.11533                         
R:HP330     0.29029  2.16541    0.054   41.132  0.32279                         
R:HP332    -0.46814  1.23230    0.305   13.321 -0.43564                         
R:HP334    -0.22112  2.13858    0.077   40.119 -0.18862                         
R:HP336     0.02254  1.99986    0.049   35.083  0.05504                         
R:HP338     0.26623  2.11235    0.085   39.141  0.29873                         
