#     Ix      Iy          X              Y               Z
 
     -25     -10      -3.50987227E-02  -2.12821053E-02   2.66263866E-08
     -25      -9      -3.50987227E-02  -1.91538948E-02   1.21422273E-05
     -25      -8      -3.50987227E-02  -1.70256842E-02   4.84936425E-05
     -25      -7      -3.50987227E-02  -1.48974737E-02   1.09094709E-04
     -25      -6      -3.50987227E-02  -1.27692632E-02   1.93968487E-04
     -25      -5      -3.50987227E-02  -1.06410526E-02   3.03147264E-04
     -25      -4      -3.50987227E-02  -8.51284211E-03   4.36672549E-04
     -25      -3      -3.50987227E-02  -6.38463158E-03   5.94595078E-04
     -25      -2      -3.50987227E-02  -4.25642106E-03   7.76974810E-04
     -25      -1      -3.50987227E-02  -2.12821053E-03   9.83880929E-04
     -25       0      -3.50987227E-02   0.00000000E+00   1.21539184E-03
     -25       1      -3.50987227E-02   2.12821053E-03   1.21539184E-03
     -25       2      -3.50987227E-02   4.25642106E-03   9.83880929E-04
     -25       3      -3.50987227E-02   6.38463158E-03   7.76974810E-04
     -25       4      -3.50987227E-02   8.51284211E-03   5.94595078E-04
     -25       5      -3.50987227E-02   1.06410526E-02   4.36672549E-04
     -25       6      -3.50987227E-02   1.27692632E-02   3.03147264E-04
     -25       7      -3.50987227E-02   1.48974737E-02   1.93968487E-04
     -25       8      -3.50987227E-02   1.70256842E-02   1.09094709E-04
     -25       9      -3.50987227E-02   1.91538948E-02   4.84936425E-05
     -25      10      -3.50987227E-02   2.12821053E-02   4.88914429E-05
 
     -24     -10      -3.36947738E-02  -2.12821053E-02   3.65666610E-07
     -24      -9      -3.36947738E-02  -1.91538948E-02   1.24959530E-05
     -24      -8      -3.36947738E-02  -1.70256842E-02   4.88914429E-05
     -24      -7      -3.36947738E-02  -1.48974737E-02   1.09566028E-04
     -24      -6      -3.36947738E-02  -1.27692632E-02   1.94542862E-04
     -24      -5      -3.36947738E-02  -1.06410526E-02   3.03854360E-04
     -24      -4      -3.36947738E-02  -8.51284211E-03   4.37542196E-04
     -24      -3      -3.36947738E-02  -6.38463158E-03   5.95657309E-04
     -24      -2      -3.36947738E-02  -4.25642106E-03   7.78259897E-04
     -24      -1      -3.36947738E-02  -2.12821053E-03   9.85419419E-04
     -24       0      -3.36947738E-02   0.00000000E+00   1.21721460E-03
     -24       1      -3.36947738E-02   2.12821053E-03   1.21721460E-03
     -24       2      -3.36947738E-02   4.25642106E-03   9.85419419E-04
     -24       3      -3.36947738E-02   6.38463158E-03   7.78259897E-04
     -24       4      -3.36947738E-02   8.51284211E-03   5.95657309E-04
     -24       5      -3.36947738E-02   1.06410526E-02   4.37542196E-04
     -24       6      -3.36947738E-02   1.27692632E-02   3.03854360E-04
     -24       7      -3.36947738E-02   1.48974737E-02   1.94542862E-04
     -24       8      -3.36947738E-02   1.70256842E-02   1.09566028E-04
     -24       9      -3.36947738E-02   1.91538948E-02   4.88914429E-05
     -24      10      -3.36947738E-02   2.12821053E-02   5.04647329E-05
 
     -23     -10      -3.22908249E-02  -2.12821053E-02   1.88011923E-06
     -23      -9      -3.22908249E-02  -1.91538948E-02   1.40251104E-05
     -23      -8      -3.22908249E-02  -1.70256842E-02   5.04647329E-05
     -23      -7      -3.22908249E-02  -1.48974737E-02   1.11212934E-04
     -23      -6      -3.22908249E-02  -1.27692632E-02   1.96292960E-04
     -23      -5      -3.22908249E-02  -1.06410526E-02   3.05737353E-04
     -23      -4      -3.22908249E-02  -8.51284211E-03   4.39587957E-04
     -23      -3      -3.22908249E-02  -6.38463158E-03   5.97895912E-04
     -23      -2      -3.22908249E-02  -4.25642106E-03   7.80721655E-04
     -23      -1      -3.22908249E-02  -2.12821053E-03   9.88134924E-04
     -23       0      -3.22908249E-02   0.00000000E+00   1.22021475E-03
     -23       1      -3.22908249E-02   2.12821053E-03   1.22021475E-03
     -23       2      -3.22908249E-02   4.25642106E-03   9.88134924E-04
     -23       3      -3.22908249E-02   6.38463158E-03   7.80721655E-04
     -23       4      -3.22908249E-02   8.51284211E-03   5.97895912E-04
     -23       5      -3.22908249E-02   1.06410526E-02   4.39587957E-04
     -23       6      -3.22908249E-02   1.27692632E-02   3.05737353E-04
     -23       7      -3.22908249E-02   1.48974737E-02   1.96292960E-04
     -23       8      -3.22908249E-02   1.70256842E-02   1.11212934E-04
     -23       9      -3.22908249E-02   1.91538948E-02   5.04647329E-05
     -23      10      -3.22908249E-02   2.12821053E-02   5.32183646E-05
 
     -22     -10      -3.08868760E-02  -2.12821053E-02   4.57483704E-06
     -22      -9      -3.08868760E-02  -1.91538948E-02   1.67345520E-05
     -22      -8      -3.08868760E-02  -1.70256842E-02   5.32183646E-05
     -22      -7      -3.08868760E-02  -1.48974737E-02   1.14040278E-04
     -22      -6      -3.08868760E-02  -1.27692632E-02   1.99223630E-04
     -22      -5      -3.08868760E-02  -1.06410526E-02   3.08801094E-04
     -22      -4      -3.08868760E-02  -8.51284211E-03   4.42814680E-04
     -22      -3      -3.08868760E-02  -6.38463158E-03   6.01315732E-04
     -22      -2      -3.08868760E-02  -4.25642106E-03   7.84364929E-04
     -22      -1      -3.08868760E-02  -2.12821053E-03   9.92032287E-04
     -22       0      -3.08868760E-02   0.00000000E+00   1.22439716E-03
     -22       1      -3.08868760E-02   2.12821053E-03   1.22439716E-03
     -22       2      -3.08868760E-02   4.25642106E-03   9.92032287E-04
     -22       3      -3.08868760E-02   6.38463158E-03   7.84364929E-04
     -22       4      -3.08868760E-02   8.51284211E-03   6.01315732E-04
     -22       5      -3.08868760E-02   1.06410526E-02   4.42814680E-04
     -22       6      -3.08868760E-02   1.27692632E-02   3.08801094E-04
     -22       7      -3.08868760E-02   1.48974737E-02   1.99223630E-04
     -22       8      -3.08868760E-02   1.70256842E-02   1.14040278E-04
     -22       9      -3.08868760E-02   1.91538948E-02   5.32183646E-05
     -22      10      -3.08868760E-02   2.12821053E-02   5.71572260E-05
 
     -21     -10      -2.94829271E-02  -2.12821053E-02   8.45470869E-06
     -21      -9      -2.94829271E-02  -1.91538948E-02   2.06291664E-05
     -21      -8      -2.94829271E-02  -1.70256842E-02   5.71572260E-05
     -21      -7      -2.94829271E-02  -1.48974737E-02   1.18052946E-04
     -21      -6      -2.94829271E-02  -1.27692632E-02   2.03339759E-04
     -21      -5      -2.94829271E-02  -1.06410526E-02   3.13050467E-04
     -21      -4      -2.94829271E-02  -8.51284211E-03   4.47227249E-04
     -21      -3      -2.94829271E-02  -6.38463158E-03   6.05921652E-04
     -21      -2      -2.94829271E-02  -4.25642106E-03   7.89194599E-04
     -21      -1      -2.94829271E-02  -2.12821053E-03   9.97116385E-04
     -21       0      -2.94829271E-02   0.00000000E+00   1.22976668E-03
     -21       1      -2.94829271E-02   2.12821053E-03   1.22976668E-03
     -21       2      -2.94829271E-02   4.25642106E-03   9.97116385E-04
     -21       3      -2.94829271E-02   6.38463158E-03   7.89194599E-04
     -21       4      -2.94829271E-02   8.51284211E-03   6.05921652E-04
     -21       5      -2.94829271E-02   1.06410526E-02   4.47227249E-04
     -21       6      -2.94829271E-02   1.27692632E-02   3.13050467E-04
     -21       7      -2.94829271E-02   1.48974737E-02   2.03339759E-04
     -21       8      -2.94829271E-02   1.70256842E-02   1.18052946E-04
     -21       9      -2.94829271E-02   1.91538948E-02   5.71572260E-05
     -21      10      -2.94829271E-02   2.12821053E-02   6.22862415E-05
 
     -20     -10      -2.80789781E-02  -2.12821053E-02   1.35246590E-05
     -20      -9      -2.80789781E-02  -1.91538948E-02   2.57138784E-05
     -20      -8      -2.80789781E-02  -1.70256842E-02   6.22862415E-05
     -20      -7      -2.80789781E-02  -1.48974737E-02   1.23255863E-04
     -20      -6      -2.80789781E-02  -1.27692632E-02   2.08646269E-04
     -20      -5      -2.80789781E-02  -1.06410526E-02   3.18490394E-04
     -20      -4      -2.80789781E-02  -8.51284211E-03   4.52830582E-04
     -20      -3      -2.80789781E-02  -6.38463158E-03   6.11718589E-04
     -20      -2      -2.80789781E-02  -4.25642106E-03   7.95215581E-04
     -20      -1      -2.80789781E-02  -2.12821053E-03   1.00339213E-03
     -20       0      -2.80789781E-02   0.00000000E+00   1.23632822E-03
     -20       1      -2.80789781E-02   2.12821053E-03   1.23632822E-03
     -20       2      -2.80789781E-02   4.25642106E-03   1.00339213E-03
     -20       3      -2.80789781E-02   6.38463158E-03   7.95215581E-04
