 &parameters
   title = "A Tale of Two Graphs"
 /
 
 Any junk here...
 
 Col1      Col2      Col3      Col4      Col5
    0    0.0000    0.1000    0.0000   -0.0125
    1    0.0001    0.0995    0.0101   -0.0127
    2    0.0004    0.0980    0.0203   -0.0130
    3    0.0009    0.0955    0.0304   -0.0132
    4    0.0016    0.0921    0.0405   -0.0135
    5    0.0025    0.0878    0.0503   -0.0137
    6    0.0036    0.0825    0.0599   -0.0140
    7    0.0049    0.0765    0.0689   -0.0142
    8    0.0064    0.0697    0.0775   -0.0144
    9    0.0081    0.0622    0.0854   -0.0147
   10    0.0100    0.0540    0.0926   -0.0149
   11    0.0121    0.0454    0.0989   -0.0151
   12    0.0144    0.0362    0.1044   -0.0153
   13    0.0169    0.0267    0.1089   -0.0155
   14    0.0196    0.0170    0.1123   -0.0157
   15    0.0225    0.0071    0.1147   -0.0159
   16    0.0256   -0.0029    0.1160   -0.0161
   17    0.0289   -0.0129    0.1160   -0.0163
   18    0.0324   -0.0227    0.1149   -0.0164
   19    0.0361   -0.0323    0.1126   -0.0166
   20    0.0400   -0.0416    0.1091   -0.0167
   21    0.0441   -0.0505    0.1044   -0.0168
   22    0.0484   -0.0589    0.0986   -0.0169
   23    0.0529   -0.0666    0.0917   -0.0170
   24    0.0576   -0.0737    0.0838   -0.0171
   25    0.0625   -0.0801    0.0748   -0.0172
   26    0.0676   -0.0857    0.0650   -0.0172
   27    0.0729   -0.0904    0.0543   -0.0173
   28    0.0784   -0.0942    0.0429   -0.0173
   29    0.0841   -0.0971    0.0309   -0.0173
   30    0.0900   -0.0990    0.0183   -0.0173
   31    0.0961   -0.0999    0.0054   -0.0173
   32    0.1024   -0.0998   -0.0077   -0.0172
   33    0.1089   -0.0987   -0.0210   -0.0172
   34    0.1156   -0.0967   -0.0342   -0.0171
   35    0.1225   -0.0936   -0.0474   -0.0170
   36    0.1296   -0.0897   -0.0602   -0.0168
   37    0.1369   -0.0848   -0.0726   -0.0167
   38    0.1444   -0.0791   -0.0844   -0.0165
   39    0.1521   -0.0726   -0.0956   -0.0163
   40    0.1600   -0.0654   -0.1060   -0.0161
   41    0.1681   -0.0575   -0.1154   -0.0159
   42    0.1764   -0.0490   -0.1238   -0.0156
   43    0.1849   -0.0401   -0.1310   -0.0153
   44    0.1936   -0.0307   -0.1370   -0.0150
   45    0.2025   -0.0211   -0.1417   -0.0146
   46    0.2116   -0.0112   -0.1451   -0.0143
   47    0.2209   -0.0012   -0.1470   -0.0139
   48    0.2304    0.0087   -0.1474   -0.0134
   49    0.2401    0.0187   -0.1464   -0.0130
   50    0.2500    0.0284   -0.1438   -0.0125
   51    0.2601    0.0378   -0.1398   -0.0120
   52    0.2704    0.0469   -0.1343   -0.0114
   53    0.2809    0.0554   -0.1273   -0.0109
   54    0.2916    0.0635   -0.1190   -0.0103
   55    0.3025    0.0709   -0.1094   -0.0096
   56    0.3136    0.0776   -0.0985   -0.0089
   57    0.3249    0.0835   -0.0865   -0.0082
   58    0.3364    0.0886   -0.0734   -0.0075
   59    0.3481    0.0927   -0.0594   -0.0067
   60    0.3600    0.0960   -0.0447   -0.0059
   61    0.3721    0.0983   -0.0293   -0.0051
   62    0.3844    0.0997   -0.0135   -0.0042
   63    0.3969    0.1000    0.0027   -0.0032
   64    0.4096    0.0993    0.0191   -0.0023
   65    0.4225    0.0977    0.0355   -0.0013
   66    0.4356    0.0950    0.0517   -0.0003
   67    0.4489    0.0914    0.0676    0.0008
   68    0.4624    0.0869    0.0830    0.0019
   69    0.4761    0.0816    0.0978    0.0031
   70    0.4900    0.0754    0.1117    0.0043
   71    0.5041    0.0685    0.1247    0.0055
   72    0.5184    0.0608    0.1365    0.0068
   73    0.5329    0.0526    0.1471    0.0082
   74    0.5476    0.0439    0.1564    0.0095
   75    0.5625    0.0347    0.1641    0.0109
   76    0.5776    0.0251    0.1704    0.0124
   77    0.5929    0.0153    0.1749    0.0139
   78    0.6084    0.0054    0.1777    0.0155
   79    0.6241   -0.0046    0.1788    0.0171
   80    0.6400   -0.0146    0.1781    0.0187
   81    0.6561   -0.0244    0.1756    0.0204
   82    0.6724   -0.0339    0.1712    0.0221
   83    0.6889   -0.0431    0.1651    0.0239
   84    0.7056   -0.0519    0.1572    0.0258
   85    0.7225   -0.0602    0.1477    0.0277
   86    0.7396   -0.0679    0.1366    0.0296
   87    0.7569   -0.0749    0.1240    0.0316
   88    0.7744   -0.0811    0.1100    0.0336
   89    0.7921   -0.0865    0.0947    0.0357
   90    0.8100   -0.0911    0.0783    0.0379
   91    0.8281   -0.0948    0.0609    0.0401
   92    0.8464   -0.0975    0.0428    0.0424
   93    0.8649   -0.0992    0.0240    0.0447
   94    0.8836   -0.1000    0.0048    0.0471
   95    0.9025   -0.0997   -0.0147    0.0495
   96    0.9216   -0.0985   -0.0342    0.0520
   97    0.9409   -0.0962   -0.0535    0.0545
   98    0.9604   -0.0930   -0.0726    0.0571
   99    0.9801   -0.0889   -0.0910    0.0598
  100    1.0000   -0.0839   -0.1088    0.0625
