Lattice   = `/home/shanksj/CesrTA/lat/cta_2085mev_xr20m_20091205_quad_ma10pct.lat_and_layout'
 File_name = `tunescan.in'
data_date = ` 2010-03-10 15:46:12'
 Return
 
!  Q_x0 = 0.500  Q_y0 = 0.500  Q_x1 = 0.660  Q_y1 = 0.660  Q_z = 0.000
 
!   Q_x       Q_y       Q_z      x_end       y_end      amp_x_max   amp_y_max   Turns   
   0.51000   0.50800  -0.06590  0.4985E-02  0.2633E-02    0.1212E+01  0.1289E+01        11
   0.51000   0.51200  -0.06590  0.4879E-02  0.1912E-02    0.1436E+01  0.1263E+01        11
   0.51000   0.51400  -0.06590  0.4859E-02  0.1474E-02    0.1350E+01  0.1312E+01        11
   0.51000   0.51600  -0.06590  0.4842E-02  0.1023E-02    0.1323E+01  0.1342E+01        11
   0.51000   0.51800  -0.06590  0.4425E-02 -0.1840E-02    0.1428E+01  0.1498E+01        13
   0.51000   0.52000  -0.06590 -0.3289E-02  0.4616E-02    0.1414E+01  0.1668E+01        22
   0.51000   0.52200  -0.06590 -0.3158E-02  0.3941E-02    0.1403E+01  0.1626E+01        22
   0.51000   0.52400  -0.06590 -0.3009E-02  0.3235E-02    0.1394E+01  0.1576E+01        22
   0.51000   0.52600  -0.06590 -0.3067E-02  0.8662E-04    0.1387E+01  0.1676E+01        24
   0.51000   0.52800  -0.06590 -0.4512E-02  0.5326E-03    0.1382E+01  0.1605E+01       114
   0.51000   0.53000  -0.06590 -0.2420E-02  0.4568E-02    0.1730E+01  0.1541E+01      1001
   0.51000   0.53200  -0.06590  0.4111E-02 -0.3286E-02    0.1438E+01  0.1508E+01      1001
   0.51000   0.53400  -0.06590  0.4081E-02  0.7966E-03    0.1420E+01  0.1315E+01      1001
   0.51000   0.53600  -0.06590 -0.4662E-02 -0.2384E-02    0.1473E+01  0.1139E+01      1001
   0.51000   0.53800  -0.06590 -0.2700E-02 -0.3055E-02    0.1447E+01  0.1130E+01      1001
   0.51000   0.54000  -0.06590  0.4679E-02  0.2724E-02    0.1432E+01  0.1176E+01      1001
   0.51000   0.54200  -0.06590  0.2772E-02 -0.2953E-02    0.1621E+01  0.1087E+01      1001
   0.51000   0.54400  -0.06590  0.1284E-02  0.1076E-02    0.1544E+01  0.1060E+01      1001
   0.51000   0.54600  -0.06590 -0.2288E-02 -0.3815E-02    0.1529E+01  0.1065E+01      1001
   0.51000   0.54800  -0.06590 -0.4297E-02 -0.1852E-02    0.1514E+01  0.1057E+01      1001
   0.51000   0.55000  -0.06590 -0.1703E-02 -0.3340E-02    0.1659E+01  0.1209E+01      1001
   0.51000   0.55200  -0.06590 -0.1970E-02  0.3957E-02    0.1552E+01  0.1101E+01      1001
   0.51000   0.55400  -0.06590 -0.1503E-02  0.4222E-02    0.1539E+01  0.1052E+01      1001
   0.51000   0.55600  -0.06590 -0.2364E-02  0.4020E-02    0.1540E+01  0.1047E+01      1001
   0.51000   0.55800  -0.06590 -0.1829E-02  0.4218E-02    0.1518E+01  0.1042E+01      1001
   0.51000   0.56000  -0.06590 -0.9971E-03  0.4977E-02    0.1505E+01  0.1427E+01      1001
   0.51000   0.56200  -0.06590 -0.4476E-02  0.4270E-02    0.1562E+01  0.1215E+01      1001
   0.51000   0.56400  -0.06590 -0.5369E-02  0.4150E-02    0.1520E+01  0.1166E+01      1001
   0.51000   0.56600  -0.06590 -0.4871E-02  0.1521E-02    0.1529E+01  0.1123E+01      1001
   0.51000   0.56800  -0.06590 -0.4187E-02 -0.6431E-03    0.1538E+01  0.1102E+01      1001
   0.51000   0.57000  -0.06590 -0.2673E-02 -0.1144E-02    0.1545E+01  0.1098E+01      1001
   0.51000   0.57200  -0.06590 -0.1138E-02 -0.4188E-02    0.1532E+01  0.1068E+01      1001
   0.51000   0.57400  -0.06590 -0.4781E-02  0.1985E-02    0.1506E+01  0.1092E+01      1001
   0.51000   0.57600  -0.06590 -0.3960E-02  0.7307E-03    0.1527E+01  0.1075E+01      1001
   0.51000   0.57800  -0.06590 -0.3715E-02  0.7250E-03    0.1525E+01  0.1078E+01      1001
   0.51000   0.58000  -0.06590 -0.3439E-02  0.9237E-03    0.1527E+01  0.1070E+01      1001
   0.51000   0.58200  -0.06590 -0.3601E-02  0.6761E-03    0.1516E+01  0.1068E+01      1001
   0.51000   0.58400  -0.06590 -0.3386E-02  0.1479E-02    0.1516E+01  0.1061E+01      1001
   0.51000   0.58600  -0.06590 -0.3066E-02  0.1657E-02    0.1516E+01  0.1068E+01      1001
   0.51000   0.58800  -0.06590 -0.3003E-02  0.2137E-02    0.1528E+01  0.1067E+01      1001
   0.51000   0.59000  -0.06590 -0.2974E-02  0.3109E-02    0.1531E+01  0.1062E+01      1001
   0.51000   0.59200  -0.06590 -0.3113E-02  0.3956E-02    0.1534E+01  0.1061E+01      1001
   0.51000   0.59400  -0.06590 -0.1782E-02 -0.2703E-02    0.1523E+01  0.1054E+01      1001
   0.51000   0.59600  -0.06590 -0.8879E-03  0.9102E-03    0.1548E+01  0.1050E+01      1001
   0.51000   0.59800  -0.06590 -0.1822E-02  0.2411E-02    0.1534E+01  0.1054E+01      1001
   0.51000   0.60000  -0.06590 -0.1656E-02  0.2451E-02    0.1535E+01  0.1054E+01      1001
   0.51000   0.60200  -0.06590 -0.1610E-02  0.3514E-02    0.1525E+01  0.1052E+01      1001
   0.51000   0.60400  -0.06590 -0.1571E-02  0.3716E-02    0.1527E+01  0.1051E+01      1001
   0.51000   0.60600  -0.06590 -0.1837E-02  0.4348E-02    0.1533E+01  0.1047E+01      1001
   0.51200   0.50800  -0.06590  0.4689E-02  0.2533E-02    0.1320E+01  0.1237E+01        11
   0.51200   0.51000  -0.06590  0.4664E-02  0.2157E-02    0.1296E+01  0.1303E+01        11
   0.51200   0.51400  -0.06590  0.4562E-02  0.1363E-02    0.1407E+01  0.1315E+01        11
   0.51200   0.51600  -0.06590  0.4550E-02  0.9053E-03    0.1366E+01  0.1345E+01        11
   0.51200   0.51800  -0.06590 -0.1941E-02  0.5337E-02    0.1462E+01  0.1729E+01        22
   0.51200   0.52000  -0.06590 -0.1853E-02  0.4682E-02    0.1449E+01  0.1677E+01        22
   0.51200   0.52200  -0.06590 -0.1737E-02  0.3999E-02    0.1438E+01  0.1638E+01        22
   0.51200   0.52400  -0.06590 -0.1598E-02  0.3285E-02    0.1429E+01  0.1583E+01        22
   0.51200   0.52600  -0.06590 -0.1515E-02  0.1159E-03    0.1421E+01  0.1650E+01        24
   0.51200   0.52800  -0.06590  0.9552E-04  0.2675E-02    0.1574E+01  0.1666E+01      1001
   0.51200   0.53000  -0.06590 -0.2258E-02  0.1664E-02    0.1560E+01  0.1407E+01      1001
   0.51200   0.53200  -0.06590  0.4050E-02  0.2882E-02    0.1432E+01  0.1316E+01      1001
   0.51200   0.53400  -0.06590  0.5461E-02  0.7598E-04    0.1464E+01  0.1167E+01      1001
   0.51200   0.53600  -0.06590  0.2210E-02 -0.3116E-02    0.1413E+01  0.1231E+01      1001
   0.51200   0.53800  -0.06590  0.4796E-02  0.2195E-02    0.1639E+01  0.1120E+01      1001
   0.51200   0.54000  -0.06590 -0.4315E-02 -0.2907E-02    0.1465E+01  0.1127E+01      1001
   0.51200   0.54200  -0.06590  0.3448E-02  0.3842E-02    0.1444E+01  0.1175E+01      1001
   0.51200   0.54400  -0.06590  0.3302E-02 -0.2214E-03    0.1656E+01  0.1106E+01      1001
   0.51200   0.54600  -0.06590  0.1458E-02  0.3063E-02    0.1541E+01  0.1041E+01      1001
   0.51200   0.54800  -0.06590  0.1758E-03  0.3109E-02    0.1689E+01  0.1248E+01      1001
   0.51200   0.55000  -0.06590 -0.2153E-02  0.3705E-02    0.1553E+01  0.1115E+01      1001
   0.51200   0.55200  -0.06590 -0.1703E-02  0.1310E-02    0.1552E+01  0.1058E+01      1001
   0.51200   0.55400  -0.06590 -0.3031E-02  0.4105E-02    0.1533E+01  0.1061E+01      1001
