&wall_params
 n_wall_pt_max =          263
/
! Note: x_inside should be negative.
! Note: First s_position should be 0.
!
!s_position   x_inside   x_outside
        0.000      -0.045       0.045
        0.817      -0.045       0.045
        0.845      -0.049       0.049
        0.861      -0.049       0.049
        0.889      -0.045       0.045
        2.546      -0.045       0.045
        2.574      -0.049       0.049
        2.590      -0.049       0.049
        2.619      -0.045       0.045
        3.411      -0.045       0.045
        3.444      -0.049       0.049
        3.486      -0.049       0.049
        3.486      -0.054       0.054
        3.503      -0.054       0.054
        3.503      -0.049       0.049
        3.536      -0.045       0.045
        3.539      -0.045       0.045
        3.569      -0.049       0.049
        3.584      -0.049       0.049
        3.613      -0.045       0.045
        5.269      -0.045       0.045
        5.298      -0.049       0.049
        5.313      -0.049       0.049
        5.342      -0.045       0.045
        6.999      -0.045       0.045
        7.027      -0.049       0.049
        7.043      -0.049       0.049
        7.071      -0.045       0.045
        7.292      -0.045       0.045
        7.348      -0.040       0.045
        7.350      -0.040       0.045
        7.351      -0.040       0.045
        7.380      -0.045       0.050
        7.493      -0.045       0.050
        7.500      -0.045       0.049
        7.524      -0.045       0.048
        7.559      -0.045       0.045
        8.614      -0.045       0.045
        8.774      -0.068       0.068
        8.789      -0.068       0.068
        8.870      -0.068       0.067
        8.871      -0.068       0.067
        8.881      -0.068       0.057
        8.985      -0.067       0.057
       10.457      -0.057       0.139
       11.930      -0.047       0.077
       12.034      -0.046       0.079
       12.044      -0.046       0.089
       12.047      -0.046       0.089
       12.102      -0.045       0.090
       12.105      -0.045       0.090
       12.113      -0.046       0.091
       12.115      -0.047       0.091
       12.141      -0.045       0.090
       12.143      -0.045       0.090
       12.158      -0.044       0.091
       12.220      -0.043       0.092
       12.223      -0.043       0.092
       12.227      -0.043       0.092
       12.230      -0.043       0.092
       12.267      -0.043       0.075
       14.044      -0.046       0.125
       14.045      -0.046       0.125
       14.050      -0.046       0.124
       14.051      -0.046       0.124
       14.052      -0.046       0.123
       14.104      -0.046       0.129
       14.114      -0.046       0.130
       14.118      -0.046       0.130
       14.119      -0.046       0.130
       14.123      -0.046       0.131
       14.124      -0.046       0.131
       14.152      -0.046       0.131
       14.161      -0.046       0.123
       14.208      -0.046       0.126
       15.086      -0.048       0.183
       15.090      -0.049       0.187
       15.091      -0.049       0.188
       15.117      -0.049       0.187
       15.130      -0.049       0.190
       15.131      -0.049       0.190
       15.135      -0.049       0.190
       15.136      -0.049       0.190
       15.167      -0.049       0.183
       15.180      -0.049       0.183
       15.181      -0.049       0.183
       15.399      -0.049       0.194
       16.115      -0.049       0.229
       16.119      -0.049       0.049
       16.143      -0.049       0.043
       16.149      -0.049       0.041
       18.637      -0.050       0.040
       18.638      -0.050       0.040
       19.095      -0.050       0.040
       19.096      -0.050       0.040
       19.127      -0.054       0.049
       19.128      -0.054       0.053
       19.129      -0.054       0.053
       19.151      -0.054       0.053
       19.152      -0.051       0.053
       19.153      -0.050       0.049
       19.154      -0.050       0.049
       19.165      -0.050       0.049
       19.228      -0.050       0.040
       19.241      -0.050       0.040
       20.029      -0.050       0.040
       20.074      -0.050       0.044
       20.075      -0.050       0.044
       20.1        -0.045       0.045
375.431       -0.045       0.045
375.431       -0.06906       0.06906
375.504       -0.06906       0.06906
375.894       -0.065         0.065
375.906       -0.065         0.065
375.972       -0.065         0.065
377.165       -0.065         0.065
377.165       -0.06429       0.06429
377.28        -0.06429       0.06429
377.311       -0.065         0.065
377.366       -0.065         0.065
377.395       -0.065         0.065
378.4         -0.065         0.065
378.402       -0.065         0.065
378.464       -0.065         0.065
378.565       -0.04445       0.04445
379.368       -0.04445       0.04445
379.412       -0.04445       0.04445
380.455       -0.04445       0.04445
387.97925      -0.04445       0.04445
389.02225      -0.04445       0.04445
389.06625      -0.04445       0.04445
389.86925      -0.04445       0.04445
389.97025      -0.065         0.065
390.03225      -0.065         0.065
390.03425      -0.065         0.065
391.03925      -0.065         0.065
391.06825      -0.065         0.065
391.12325      -0.065         0.065
391.15425      -0.06429       0.06429
391.26925      -0.06429       0.06429
391.26925      -0.065         0.065
392.46225      -0.065         0.065
392.52825      -0.065         0.065
392.54025      -0.065         0.065
392.93025      -0.06906       0.06906
393.00325      -0.06906       0.06906
393.00325      -0.045       0.045
      748.000      -0.045       0.045
      748.292      -0.041       0.053
      748.293      -0.041       0.053
      748.294      -0.041       0.053
      748.338      -0.041       0.049
      748.341      -0.041       0.049
      749.126      -0.041       0.049
      749.127      -0.041       0.049
      749.138      -0.041       0.049
      749.201      -0.041       0.058
      749.216      -0.041       0.058
      749.217      -0.041       0.058
      749.218      -0.040       0.062
      749.219      -0.044       0.062
      749.239      -0.044       0.062
      749.240      -0.044       0.062
      749.241      -0.044       0.058
      749.271      -0.041       0.049
      749.272      -0.041       0.049
      749.273      -0.041       0.049
      749.274      -0.044       0.050
      749.275      -0.044       0.050
      749.292      -0.044       0.048
      749.320      -0.044       0.046
      749.324      -0.044       0.046
      749.780      -0.044       0.046
      749.781      -0.044       0.046
      753.018      -0.045       0.045
      753.019      -0.045       0.045
      754.042      -0.045       0.045
      754.137      -0.045       0.045
      754.138      -0.045       0.045
      754.141      -0.045       0.045
