                 Horz         Vert         Sync.                           
 Tune           ( .4551  )   ( .403786)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:VP605   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase ( .43376 )                          
    Average RMS deviation:  .04882 +  .03373                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP223     0.08397  1.82982    0.046   21.532 -0.48227                         
R:VP225     0.36786  1.17871    0.033    8.935 -0.19838                         
R:VP227    -0.41213  1.97036    0.052   24.967  0.02163                         
R:VP229    -0.18280  1.65152    0.033   17.540  0.25096                         
R:VP231     0.07300  1.40366    0.036   12.671 -0.49324                         
R:VP301     0.31069  1.90255    0.038   23.278 -0.25555                         
R:VP303    -0.47352  2.14096    0.056   29.477 -0.03976                         
R:VP305    -0.22514  2.05450    0.041   27.145  0.20862                         
R:VP307     0.02025  2.35213    0.175   35.579  0.45401                         
R:VP309     0.26902  1.69133    0.044   18.396 -0.29722                         
R:VP311    -0.48088  1.34164    0.035   11.576 -0.04712                         
R:VP313    -0.22939  1.69331    0.040   18.439  0.20437                         
R:VP315    -0.01830  1.89635    0.039   23.126  0.41546                         
R:VP317     0.25428  1.08157    0.028    7.523 -0.31196                         
R:VP319     0.47854  2.27422    0.031   33.261 -0.08770                         
R:VP321    -0.30767  1.85375    0.041   22.099  0.12609                         
R:VP323    -0.08472  1.62985    0.036   17.083  0.34904                         
R:VP325     0.22317  1.55942    0.031   15.639 -0.34307                         
R:VP327     0.41125  2.32104    0.052   34.644 -0.15499                         
R:VP329    -0.36607  1.69322    0.037   18.437  0.06769                         
R:VP331    -0.11974  1.80910    0.052   21.047  0.31402                         
R:VP333     0.07548  0.97085    0.323    6.061 -0.49076                         
R:VP335     0.32928  1.68847    0.049   18.334 -0.23696                         
R:VP337    -0.47788  1.08181    0.150    7.526 -0.04412                         
R:VP339    -0.26015  1.35798    0.038   11.859  0.17361                         
R:VP341     0.03691  1.86141    0.045   22.282  0.47067                         
