! Curve 0 of 1, 348 points
! Curve title: "'Fe_metal_rt_03.txt' u 1:($3/$2)"
! Energy  probability
 6962      0.908771,
 6972      0.917917,
 6982      0.927555,
 6992      0.936585,
 7002      0.946245,
 7012      0.956023,
 7022      0.964822,
 7032      0.974424,
 7042      0.983718,
 7052      0.992624,
 7062      1.00208,
 7072      1.01061,
 7082      1.01736,
 7092      1.02134,
 7092.5    1.02179,
 7093      1.02154,
 7093.5    1.02148,
 7094      1.02155,
 7094.5    1.02112,
 7095      1.02129,
 7095.5    1.02154,
 7096      1.02153,
 7096.5    1.02195,
 7097      1.02125,
 7097.5    1.02091,
 7098      1.02061,
 7098.5    1.02038,
 7099      1.01992,
 7099.5    1.01928,
 7100      1.01877,
 7100.5    1.01811,
 7101      1.01755,
 7101.5    1.0165,
 7102      1.016,
 7102.5    1.01474,
 7103      1.01352,
 7103.5    1.01183,
 7104      1.00954,
 7104.5    1.00819,
 7105      1.00565,
 7105.5    1.00348,
 7106      0.999746,
 7106.5    0.995915,
 7107      0.991148,
 7107.5    0.984987,
 7108      0.97667,
 7108.5    0.965207,
 7109      0.949019,
 7109.5    0.922535,
 7110      0.87303,
 7110.5    0.79582,
 7111      0.692937,
 7111.5    0.595399,
 7112      0.530169,
 7112.5    0.483748,
 7113      0.449136,
 7113.5    0.421207,
 7114      0.398505,
 7114.5    0.381185,
 7115      0.372113,
 7115.5    0.366654,
 7116      0.360875,
 7116.5    0.352378,
 7117      0.335401,
 7117.5    0.308806,
 7118      0.281161,
 7118.5    0.251673,
 7119      0.225646,
 7119.5    0.201785,
 7120      0.178393,
 7120.5    0.158998,
 7121      0.14316,
 7121.5    0.129579,
 7122      0.119691,
 7122.5    0.111756,
 7123      0.104739,
 7123.5    0.0993068,
 7124      0.0946006,
 7124.5    0.0903717,
 7125      0.0866002,
 7125.5    0.0828395,
 7126      0.0790628,
 7126.5    0.0754579,
 7127      0.0714634,
 7127.5    0.0670511,
 7128      0.0628465,
 7128.5    0.0585006,
 7129      0.0547059,
 7129.5    0.0515276,
 7130      0.0492609,
 7130.5    0.0481478,
 7131      0.0485468,
 7131.5    0.0502169,
 7132      0.0526068,
 7132.88   0.0584455,
 7133.78   0.064469,
 7134.71   0.069361,
 7135.65   0.072155,
 7136.61   0.0728848,
 7137.58   0.0716606,
 7138.58   0.0691928,
 7139.6    0.0665266,
 7140.63   0.0647875,
 7141.69   0.0646857,
 7142.76   0.0655849,
 7143.86   0.0663715,
 7144.97   0.0660689,
 7146.1    0.0640484,
 7147.25   0.0608238,
 7148.42   0.0575543,
 7149.61   0.05534,
 7150.81   0.0540942,
 7152.04   0.0531911,
 7153.29   0.0528021,
 7154.55   0.053193,
 7155.83   0.0541365,
 7157.14   0.0548466,
 7158.46   0.0551161,
 7159.8    0.0552435,
 7161.16   0.055691,
 7162.54   0.0563938,
 7163.94   0.0574216,
 7165.35   0.0582295,
 7166.79   0.0588443,
 7168.25   0.0595326,
 7169.72   0.0604063,
 7171.21   0.0619599,
 7172.73   0.0642105,
 7174.26   0.06696,
 7175.81   0.0701963,
 7177.38   0.0733856,
 7178.97   0.0756076,
 7180.57   0.0762772,
 7182.2    0.0757858,
 7183.85   0.0744966,
 7185.51   0.0722045,
 7187.2    0.0692319,
 7188.9    0.0662026,
 7190.62   0.0630958,
 7192.36   0.060222,
 7194.13   0.0591454,
 7195.91   0.0601056,
 7197.7    0.0624522,
 7199.52   0.0660453,
 7201.36   0.0703357,
 7203.22   0.075216,
 7205.09   0.0798556,
 7206.98   0.0823343,
 7208.9    0.0807218,
 7210.83   0.0743753,
 7212.78   0.0652444,
 7214.75   0.056031,
 7216.74   0.0492227,
 7218.75   0.0452766,
 7220.78   0.0443274,
 7222.82   0.0463693,
 7224.89   0.0512031,
 7226.98   0.0578037,
 7229.08   0.0654075,
 7231.2    0.0737299,
 7233.34   0.0814727,
 7235.51   0.0872344,
 7237.69   0.0901179,
 7239.89   0.090113,
 7242.1    0.0876306,
 7244.34   0.0840746,
 7246.6    0.0809447,
 7248.87   0.0793201,
 7251.17   0.0798927,
 7253.48   0.0819275,
 7255.81   0.0835181,
 7258.17   0.0833406,
 7260.54   0.0816206,
 7262.93   0.0796905,
 7265.34   0.0783289,
 7267.77   0.0767043,
 7270.21   0.073919,
 7272.68   0.0706493,
 7275.16   0.0687006,
 7277.67   0.0676979,
 7280.19   0.0662507,
 7282.73   0.0642337,
 7285.3    0.0623697,
 7287.88   0.0614748,
 7290.48   0.0630191,
 7293.1    0.0673485,
 7295.73   0.0732506,
 7298.39   0.079271,
 7301.07   0.0844436,
 7303.76   0.0886931,
 7306.48   0.0913634,
 7309.21   0.0926892,
 7311.96   0.0928901,
 7314.74   0.092912,
 7317.53   0.0933002,
 7320.34   0.0937892,
 7323.16   0.0941986,
 7326.01   0.0943191,
 7328.88   0.0947888,
 7331.77   0.0961506,
 7334.67   0.0980746,
 7337.6    0.0994579,
 7340.54   0.0990792,
 7343.5    0.0965046,
 7346.48   0.0924422,
 7349.48   0.0883607,
 7352.5    0.0848325,
 7355.54   0.0819191,
 7358.6    0.0794667,
 7361.68   0.0775455,
 7364.77   0.0768474,
 7367.89   0.077465,
 7371.02   0.0798828,
 7374.18   0.0845432,
 7377.35   0.0918461,
 7380.54   0.100113,
 7383.75   0.107048,
 7386.98   0.110333,
 7390.23   0.110205,
 7393.49   0.108779,
 7396.78   0.107535,
 7400.09   0.107481,
 7403.41   0.107815,
 7406.76   0.108075,
 7410.12   0.107989,
 7413.5    0.107941,
 7416.9    0.108476,
 7420.32   0.109396,
 7423.76   0.111438,
 7427.22   0.11307,
 7430.7    0.113565,
 7434.19   0.113318,
 7437.71   0.112131,
 7441.24   0.109957,
 7444.8    0.107331,
 7448.37   0.10539,
 7451.96   0.104515,
 7455.57   0.104859,
 7459.2    0.105573,
 7462.85   0.106861,
 7466.52   0.109196,
 7470.21   0.112234,
 7473.91   0.115452,
 7477.64   0.118101,
 7481.39   0.120355,
 7485.15   0.123171,
 7488.93   0.126191,
 7492.73   0.12863,
 7496.55   0.129718,
 7500.39   0.129519,
 7504.25   0.129072,
 7508.13   0.129052,
 7512.03   0.129625,
 7515.94   0.130609,
 7519.88   0.131516,
 7523.83   0.131998,
 7527.81   0.132151,
 7531.8    0.132172,
 7535.81   0.132678,
 7539.84   0.133563,
 7543.89   0.134717,
 7547.96   0.135466,
 7552.05   0.135641,
 7556.16   0.135191,
 7560.28   0.13436,
 7564.43   0.134166,
 7568.59   0.135066,
 7572.77   0.137015,
 7576.98   0.139799,
 7581.2    0.142709,
 7585.44   0.145085,
 7589.7    0.146968,
 7593.98   0.147947,
 7598.27   0.148629,
 7602.59   0.149369,
 7606.93   0.150877,
 7611.28   0.152549,
 7615.66   0.154157,
 7620.05   0.154732,
 7624.46   0.155014,
 7628.89   0.155488,
 7633.34   0.157094,
 7637.81   0.158876,
 7642.3    0.160948,
 7646.81   0.162687,
 7651.34   0.163953,
 7655.88   0.164983,
 7660.45   0.165816,
 7665.03   0.166184,
 7669.63   0.166362,
 7674.26   0.166484,
 7678.9    0.166702,
 7683.56   0.167304,
 7688.24   0.168693,
 7692.94   0.170293,
 7697.65   0.172144,
 7702.39   0.173782,
 7707.14   0.175474,
 7711.92   0.177247,
 7716.71   0.179154,
 7721.52   0.180893,
 7726.36   0.18234,
 7731.21   0.183464,
 7736.08   0.184699,
 7740.97   0.186042,
 7745.88   0.187566,
 7750.8    0.188771,
 7755.75   0.189945,
 7760.72   0.191715,
 7765.7    0.193292,
 7770.7    0.195089,
 7775.73   0.19703,
 7780.77   0.198582,
 7785.83   0.200114,
 7790.91   0.201531,
 7796.01   0.202668,
 7801.12   0.203891,
 7806.26   0.204953,
 7811.42   0.20625,
 7816.59   0.207518,
 7821.79   0.208871,
