#     Ix      Iy          X                Y                Z              dZ/dX         dZ/dY
 
     -25     -10      -3.50987227E-02  -2.12821053E-02  -1.53900935E-03  1.458589E+00 -1.663139E+01
     -25      -9      -3.50987227E-02  -1.91538948E-02  -1.31447215E-03  1.459224E+00 -1.462388E+01
     -25      -8      -3.50987227E-02  -1.70256842E-02  -1.11378352E-03  1.459803E+00 -1.267190E+01
     -25      -7      -3.50987227E-02  -1.48974737E-02  -9.36872446E-04  1.460322E+00 -1.071989E+01
     -25      -6      -3.50987227E-02  -1.27692632E-02  -7.83676246E-04  1.460780E+00 -8.767846E+00
     -25      -5      -3.50987227E-02  -1.06410526E-02  -6.54140610E-04  1.461172E+00 -6.815782E+00
     -25      -4      -3.50987227E-02  -8.51284211E-03  -5.48219578E-04  1.461496E+00 -4.863698E+00
     -25      -3      -3.50987227E-02  -6.38463158E-03  -4.65875548E-04  1.461750E+00 -2.911598E+00
     -25      -2      -3.50987227E-02  -4.25642106E-03  -4.07079274E-04  1.461932E+00 -9.594868E-01
     -25      -1      -3.50987227E-02  -2.12821053E-03  -3.71809866E-04  1.462042E+00  9.926325E-01
     -25       0      -3.50987227E-02   0.00000000E+00  -3.60054789E-04  1.462079E+00  0.000000E+00
     -25       1      -3.50987227E-02   2.12821053E-03  -3.71809866E-04  1.462042E+00 -1.104789E-02
     -25       2      -3.50987227E-02   4.25642106E-03  -4.07079274E-04  1.461932E+00 -2.209971E-02
     -25       3      -3.50987227E-02   6.38463158E-03  -4.65875548E-04  1.461750E+00 -3.315938E-02
     -25       4      -3.50987227E-02   8.51284211E-03  -5.48219578E-04  1.461496E+00 -4.423084E-02
     -25       5      -3.50987227E-02   1.06410526E-02  -6.54140610E-04  1.461172E+00 -5.531799E-02
     -25       6      -3.50987227E-02   1.27692632E-02  -7.83676246E-04  1.460780E+00 -6.642478E-02
     -25       7      -3.50987227E-02   1.48974737E-02  -9.36872446E-04  1.460322E+00 -7.755513E-02
     -25       8      -3.50987227E-02   1.70256842E-02  -1.11378352E-03  1.459803E+00 -8.871296E-02
     -25       9      -3.50987227E-02   1.91538948E-02  -1.31447215E-03  1.459224E+00 -9.990220E-02
     -25      10      -3.50987227E-02   2.12821053E-02  -1.53900935E-03  1.458589E+00 -5.275259E-02
 
     -24     -10      -3.36947738E-02  -2.12821053E-02  -1.51287321E-03  1.476730E+00 -1.669713E+01
     -24      -9      -3.36947738E-02  -1.91538948E-02  -1.28806216E-03  1.477476E+00 -1.468183E+01
     -24      -8      -3.36947738E-02  -1.70256842E-02  -1.08712935E-03  1.478154E+00 -1.272212E+01
     -24      -7      -3.36947738E-02  -1.48974737E-02  -9.10003477E-04  1.478761E+00 -1.076238E+01
     -24      -6      -3.36947738E-02  -1.27692632E-02  -7.56621621E-04  1.479293E+00 -8.802606E+00
     -24      -5      -3.36947738E-02  -1.06410526E-02  -6.26929254E-04  1.479748E+00 -6.842813E+00
     -24      -4      -3.36947738E-02  -8.51284211E-03  -5.20880235E-04  1.480124E+00 -4.883000E+00
     -24      -3      -3.36947738E-02  -6.38463158E-03  -4.38436814E-04  1.480417E+00 -2.923172E+00
     -24      -2      -3.36947738E-02  -4.25642106E-03  -3.79569628E-04  1.480628E+00 -9.633313E-01
     -24      -1      -3.36947738E-02  -2.12821053E-03  -3.44257706E-04  1.480755E+00  9.965169E-01
     -24       0      -3.36947738E-02   0.00000000E+00  -3.32488463E-04  1.480798E+00  0.000000E+00
     -24       1      -3.36947738E-02   2.12821053E-03  -3.44257706E-04  1.480755E+00 -1.106121E-02
     -24       2      -3.36947738E-02   4.25642106E-03  -3.79569628E-04  1.480628E+00 -2.212636E-02
     -24       3      -3.36947738E-02   6.38463158E-03  -4.38436814E-04  1.480417E+00 -3.319940E-02
     -24       4      -3.36947738E-02   8.51284211E-03  -5.20880235E-04  1.480124E+00 -4.428426E-02
     -24       5      -3.36947738E-02   1.06410526E-02  -6.26929254E-04  1.479748E+00 -5.538488E-02
     -24       6      -3.36947738E-02   1.27692632E-02  -7.56621621E-04  1.479293E+00 -6.650522E-02
     -24       7      -3.36947738E-02   1.48974737E-02  -9.10003477E-04  1.478761E+00 -7.764921E-02
     -24       8      -3.36947738E-02   1.70256842E-02  -1.08712935E-03  1.478154E+00 -8.882079E-02
     -24       9      -3.36947738E-02   1.91538948E-02  -1.28806216E-03  1.477476E+00 -1.000239E-01
     -24      10      -3.36947738E-02   2.12821053E-02  -1.51287321E-03  1.476730E+00 -5.281692E-02
 
     -23     -10      -3.22908249E-02  -2.12821053E-02  -1.48780397E-03  1.485502E+00 -1.676315E+01
     -23      -9      -3.22908249E-02  -1.91538948E-02  -1.26271864E-03  1.486262E+00 -1.474002E+01
     -23      -8      -3.22908249E-02  -1.70256842E-02  -1.06154126E-03  1.486953E+00 -1.277255E+01
     -23      -7      -3.22908249E-02  -1.48974737E-02  -8.84200254E-04  1.487570E+00 -1.080504E+01
     -23      -6      -3.22908249E-02  -1.27692632E-02  -7.30632451E-04  1.488111E+00 -8.837514E+00
     -23      -5      -3.22908249E-02  -1.06410526E-02  -6.00783107E-04  1.488573E+00 -6.869959E+00
     -23      -4      -3.22908249E-02  -8.51284211E-03  -4.94605901E-04  1.488955E+00 -4.902385E+00
     -23      -3      -3.22908249E-02  -6.38463158E-03  -4.12062932E-04  1.489253E+00 -2.934794E+00
     -23      -2      -3.22908249E-02  -4.25642106E-03  -3.53124725E-04  1.489467E+00 -9.671922E-01
     -23      -1      -3.22908249E-02  -2.12821053E-03  -3.17770223E-04  1.489596E+00  1.000418E+00
     -23       0      -3.22908249E-02   0.00000000E+00  -3.05986792E-04  1.489639E+00  0.000000E+00
     -23       1      -3.22908249E-02   2.12821053E-03  -3.17770223E-04  1.489596E+00 -1.107455E-02
     -23       2      -3.22908249E-02   4.25642106E-03  -3.53124725E-04  1.489467E+00 -2.215305E-02
     -23       3      -3.22908249E-02   6.38463158E-03  -4.12062932E-04  1.489253E+00 -3.323947E-02
     -23       4      -3.22908249E-02   8.51284211E-03  -4.94605901E-04  1.488955E+00 -4.433776E-02
     -23       5      -3.22908249E-02   1.06410526E-02  -6.00783107E-04  1.488573E+00 -5.545188E-02
     -23       6      -3.22908249E-02   1.27692632E-02  -7.30632451E-04  1.488111E+00 -6.658579E-02
     -23       7      -3.22908249E-02   1.48974737E-02  -8.84200254E-04  1.487570E+00 -7.774344E-02
     -23       8      -3.22908249E-02   1.70256842E-02  -1.06154126E-03  1.486953E+00 -8.892879E-02
     -23       9      -3.22908249E-02   1.91538948E-02  -1.26271864E-03  1.486262E+00 -1.001458E-01
     -23      10      -3.22908249E-02   2.12821053E-02  -1.48780397E-03  1.485502E+00 -5.288136E-02
 
     -22     -10      -3.08868760E-02  -2.12821053E-02  -1.46380572E-03  1.494402E+00 -1.682946E+01
     -22      -9      -3.08868760E-02  -1.91538948E-02  -1.23844566E-03  1.495176E+00 -1.479846E+01
     -22      -8      -3.08868760E-02  -1.70256842E-02  -1.03702333E-03  1.495879E+00 -1.282319E+01
     -22      -7      -3.08868760E-02  -1.48974737E-02  -8.59466851E-04  1.496507E+00 -1.084790E+01
     -22      -6      -3.08868760E-02  -1.27692632E-02  -7.05712808E-04  1.497057E+00 -8.872571E+00
     -22      -5      -3.08868760E-02  -1.06410526E-02  -5.75706242E-04  1.497527E+00 -6.897222E+00
     -22      -4      -3.08868760E-02  -8.51284211E-03  -4.69400650E-04  1.497914E+00 -4.921852E+00
     -22      -3      -3.08868760E-02  -6.38463158E-03  -3.86757980E-04  1.498217E+00 -2.946467E+00
     -22      -2      -3.08868760E-02  -4.25642106E-03  -3.27748641E-04  1.498434E+00 -9.710697E-01
     -22      -1      -3.08868760E-02  -2.12821053E-03  -2.92351492E-04  1.498565E+00  1.004335E+00
     -22       0      -3.08868760E-02   0.00000000E+00  -2.80553852E-04  1.498609E+00  0.000000E+00
     -22       1      -3.08868760E-02   2.12821053E-03  -2.92351492E-04  1.498565E+00 -1.108790E-02
     -22       2      -3.08868760E-02   4.25642106E-03  -3.27748641E-04  1.498434E+00 -2.217978E-02
     -22       3      -3.08868760E-02   6.38463158E-03  -3.86757980E-04  1.498217E+00 -3.327960E-02
     -22       4      -3.08868760E-02   8.51284211E-03  -4.69400650E-04  1.497914E+00 -4.439135E-02
     -22       5      -3.08868760E-02   1.06410526E-02  -5.75706242E-04  1.497527E+00 -5.551898E-02
     -22       6      -3.08868760E-02   1.27692632E-02  -7.05712808E-04  1.497057E+00 -6.666648E-02
     -22       7      -3.08868760E-02   1.48974737E-02  -8.59466851E-04  1.496507E+00 -7.783782E-02
     -22       8      -3.08868760E-02   1.70256842E-02  -1.03702333E-03  1.495879E+00 -8.903697E-02
     -22       9      -3.08868760E-02   1.91538948E-02  -1.23844566E-03  1.495176E+00 -1.002679E-01
     -22      10      -3.08868760E-02   2.12821053E-02  -1.46380572E-03  1.494402E+00 -5.294591E-02
 
     -21     -10      -2.94829271E-02  -2.12821053E-02  -1.44088255E-03  1.503430E+00 -1.689605E+01
     -21      -9      -2.94829271E-02  -1.91538948E-02  -1.21524733E-03  1.504219E+00 -1.485715E+01
     -21      -8      -2.94829271E-02  -1.70256842E-02  -1.01357966E-03  1.504935E+00 -1.287406E+01
     -21      -7      -2.94829271E-02  -1.48974737E-02  -8.35807367E-04  1.505573E+00 -1.089093E+01
     -21      -6      -2.94829271E-02  -1.27692632E-02  -6.81866795E-04  1.506132E+00 -8.907780E+00
     -21      -5      -2.94829271E-02  -1.06410526E-02  -5.51702763E-04  1.506609E+00 -6.924602E+00
     -21      -4      -2.94829271E-02  -8.51284211E-03  -4.45268585E-04  1.507002E+00 -4.941404E+00
     -21      -3      -2.94829271E-02  -6.38463158E-03  -3.62526061E-04  1.507310E+00 -2.958190E+00
     -21      -2      -2.94829271E-02  -4.25642106E-03  -3.03445480E-04  1.507530E+00 -9.749640E-01
     -21      -1      -2.94829271E-02  -2.12821053E-03  -2.68005620E-04  1.507663E+00  1.008270E+00
     -21       0      -2.94829271E-02   0.00000000E+00  -2.56193748E-04  1.507707E+00  0.000000E+00
     -21       1      -2.94829271E-02   2.12821053E-03  -2.68005620E-04  1.507663E+00 -1.110128E-02
     -21       2      -2.94829271E-02   4.25642106E-03  -3.03445480E-04  1.507530E+00 -2.220655E-02
     -21       3      -2.94829271E-02   6.38463158E-03  -3.62526061E-04  1.507310E+00 -3.331980E-02
     -21       4      -2.94829271E-02   8.51284211E-03  -4.45268585E-04  1.507002E+00 -4.444502E-02
     -21       5      -2.94829271E-02   1.06410526E-02  -5.51702763E-04  1.506609E+00 -5.558619E-02
     -21       6      -2.94829271E-02   1.27692632E-02  -6.81866795E-04  1.506132E+00 -6.674730E-02
     -21       7      -2.94829271E-02   1.48974737E-02  -8.35807367E-04  1.505573E+00 -7.793234E-02
     -21       8      -2.94829271E-02   1.70256842E-02  -1.01357966E-03  1.504935E+00 -8.914531E-02
     -21       9      -2.94829271E-02   1.91538948E-02  -1.21524733E-03  1.504219E+00 -1.003902E-01
     -21      10      -2.94829271E-02   2.12821053E-02  -1.44088255E-03  1.503430E+00 -5.301055E-02
 
     -20     -10      -2.80789781E-02  -2.12821053E-02  -1.41903858E-03  1.512587E+00 -1.696293E+01
     -20      -9      -2.80789781E-02  -1.91538948E-02  -1.19312777E-03  1.513390E+00 -1.491610E+01
     -20      -8      -2.80789781E-02  -1.70256842E-02  -9.91214368E-04  1.514118E+00 -1.292515E+01
     -20      -7      -2.80789781E-02  -1.48974737E-02  -8.13225929E-04  1.514767E+00 -1.093416E+01
     -20      -6      -2.80789781E-02  -1.27692632E-02  -6.59098538E-04  1.515335E+00 -8.943141E+00
     -20      -5      -2.80789781E-02  -1.06410526E-02  -5.28776797E-04  1.515820E+00 -6.952100E+00
     -20      -4      -2.80789781E-02  -8.51284211E-03  -4.22213836E-04  1.516219E+00 -4.961040E+00
     -20      -3      -2.80789781E-02  -6.38463158E-03  -3.39371303E-04  1.516531E+00 -2.969964E+00
     -20      -2      -2.80789781E-02  -4.25642106E-03  -2.80219371E-04  1.516755E+00 -9.788752E-01
     -20      -1      -2.80789781E-02  -2.12821053E-03  -2.44736735E-04  1.516889E+00  1.012221E+00
     -20       0      -2.80789781E-02   0.00000000E+00  -2.32910609E-04  1.516934E+00  0.000000E+00
     -20       1      -2.80789781E-02   2.12821053E-03  -2.44736735E-04  1.516889E+00 -1.111468E-02
     -20       2      -2.80789781E-02   4.25642106E-03  -2.80219371E-04  1.516755E+00 -2.223337E-02
     -20       3      -2.80789781E-02   6.38463158E-03  -3.39371303E-04  1.516531E+00 -3.336006E-02
     -20       4      -2.80789781E-02   8.51284211E-03  -4.22213836E-04  1.516219E+00 -4.449877E-02
     -20       5      -2.80789781E-02   1.06410526E-02  -5.28776797E-04  1.515820E+00 -5.565349E-02
     -20       6      -2.80789781E-02   1.27692632E-02  -6.59098538E-04  1.515335E+00 -6.682824E-02
     -20       7      -2.80789781E-02   1.48974737E-02  -8.13225929E-04  1.514767E+00 -7.802702E-02
     -20       8      -2.80789781E-02   1.70256842E-02  -9.91214368E-04  1.514118E+00 -8.925382E-02
     -20       9      -2.80789781E-02   1.91538948E-02  -1.19312777E-03  1.513390E+00 -1.005127E-01
     -20      10      -2.80789781E-02   2.12821053E-02  -1.41903858E-03  1.512587E+00 -5.307530E-02
 
     -19     -10      -2.66750292E-02  -2.12821053E-02  -1.39827795E-03  1.521872E+00 -1.703009E+01
     -19      -9      -2.66750292E-02  -1.91538948E-02  -1.17209112E-03  1.522690E+00 -1.497530E+01
     -19      -8      -2.66750292E-02  -1.70256842E-02  -9.69931612E-04  1.523430E+00 -1.297645E+01
     -19      -7      -2.66750292E-02  -1.48974737E-02  -7.91726691E-04  1.524090E+00 -1.097757E+01
     -19      -6      -2.66750292E-02  -1.27692632E-02  -6.37412192E-04  1.524667E+00 -8.978655E+00
     -19      -5      -2.66750292E-02  -1.06410526E-02  -5.06932500E-04  1.525159E+00 -6.979718E+00
     -19      -4      -2.66750292E-02  -8.51284211E-03  -4.00240559E-04  1.525564E+00 -4.980762E+00
     -19      -3      -2.66750292E-02  -6.38463158E-03  -3.17297865E-04  1.525880E+00 -2.981788E+00
     -19      -2      -2.66750292E-02  -4.25642106E-03  -2.58074474E-04  1.526108E+00 -9.828034E-01
     -19      -1      -2.66750292E-02  -2.12821053E-03  -2.22548996E-04  1.526244E+00  1.016190E+00
     -19       0      -2.66750292E-02   0.00000000E+00  -2.10708595E-04  1.526290E+00  0.000000E+00
     -19       1      -2.66750292E-02   2.12821053E-03  -2.22548996E-04  1.526244E+00 -1.112810E-02
     -19       2      -2.66750292E-02   4.25642106E-03  -2.58074474E-04  1.526108E+00 -2.226022E-02
     -19       3      -2.66750292E-02   6.38463158E-03  -3.17297865E-04  1.525880E+00 -3.340038E-02
     -19       4      -2.66750292E-02   8.51284211E-03  -4.00240559E-04  1.525564E+00 -4.455260E-02
     -19       5      -2.66750292E-02   1.06410526E-02  -5.06932500E-04  1.525159E+00 -5.572090E-02
     -19       6      -2.66750292E-02   1.27692632E-02  -6.37412192E-04  1.524667E+00 -6.690931E-02
     -19       7      -2.66750292E-02   1.48974737E-02  -7.91726691E-04  1.524090E+00 -7.812183E-02
     -19       8      -2.66750292E-02   1.70256842E-02  -9.69931612E-04  1.523430E+00 -8.936250E-02
     -19       9      -2.66750292E-02   1.91538948E-02  -1.17209112E-03  1.522690E+00 -1.006353E-01
     -19      10      -2.66750292E-02   2.12821053E-02  -1.39827795E-03  1.521872E+00 -5.314015E-02
 
     -18     -10      -2.52710803E-02  -2.12821053E-02  -1.37860485E-03  1.531285E+00 -1.709755E+01
     -18      -9      -2.52710803E-02  -1.91538948E-02  -1.15214157E-03  1.532117E+00 -1.503477E+01
     -18      -8      -2.52710803E-02  -1.70256842E-02  -9.49735570E-04  1.532870E+00 -1.302798E+01
     -18      -7      -2.52710803E-02  -1.48974737E-02  -7.71313833E-04  1.533541E+00 -1.102117E+01
     -18      -6      -2.52710803E-02  -1.27692632E-02  -6.16811940E-04  1.534127E+00 -9.014324E+00
     -18      -5      -2.52710803E-02  -1.06410526E-02  -4.86174056E-04  1.534626E+00 -7.007457E+00
     -18      -4      -2.52710803E-02  -8.51284211E-03  -3.79352938E-04  1.535037E+00 -5.000569E+00
     -18      -3      -2.52710803E-02  -6.38463158E-03  -2.96309932E-04  1.535359E+00 -2.993665E+00
     -18      -2      -2.52710803E-02  -4.25642106E-03  -2.37014974E-04  1.535589E+00 -9.867488E-01
     -18      -1      -2.52710803E-02  -2.12821053E-03  -2.01446588E-04  1.535727E+00  1.020175E+00
     -18       0      -2.52710803E-02   0.00000000E+00  -1.89591892E-04  1.535774E+00  0.000000E+00
     -18       1      -2.52710803E-02   2.12821053E-03  -2.01446588E-04  1.535727E+00 -1.114154E-02
     -18       2      -2.52710803E-02   4.25642106E-03  -2.37014974E-04  1.535589E+00 -2.228711E-02
     -18       3      -2.52710803E-02   6.38463158E-03  -2.96309932E-04  1.535359E+00 -3.344076E-02
     -18       4      -2.52710803E-02   8.51284211E-03  -3.79352938E-04  1.535037E+00 -4.460652E-02
